artifactName,country,library,relicTime,material,moreUrl,imageUrl,size,description
戚继光 行书《送李小山归蓬莱》,中国,山西博物馆,明,绢本,https://www.shanximuseum.com/cms/a/866.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/13/s5c11c18d2cefa.jpg,绢本。纵139厘米，横91厘米。,"这首送友人李小山的七言诗用笔奔放，挥洒自如，法黄庭坚。末署“隆庆庚午夏六月孟诸子戚继光书于蓟东之运甓斋”。戚继光遗墨传世稀少，此幅书于1570年，十分珍贵。,戚继光（1528～1588年），字元敬，安徽定远人。抗倭名将，卒谥武毅。有《纪效新书》、《练兵纪实》等传世。"
白釉镂空熏炉,中国,山西博物馆,北宋,瓷,https://www.shanximuseum.com/cms/a/822.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f6c24a009b_1336_748_135_0.jpg,通高11.7、口径6.1厘米。,"1958年山西省太原市金胜村出土。,炉呈卵形，细短柄，喇叭形底座，边缘一周斜削。炉盖镂空，扣于子口炉身之上。细白胎，坚致。白釉闪青，光亮，无开片。山西介休窑烧造。"
祝允明 草书杜甫诗,中国,山西博物馆,明,绢本,https://www.shanximuseum.com/cms/a/865.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/13/s5c11c1777e0bd.jpg,绢本，纵73厘米，横32厘米。,"写杜甫七言诗，运笔豪纵，法度严谨，沉着痛快，一气呵成。款署“枝山居士祝允明”，钤“祝允明印”、“晞哲”两印。,祝允明（1460～1526年），字晞哲，号枝山，又署枝山老樵，苏州人。书法绵里藏针，指与心应，腕与笔应，若羲献真行，怀素狂草，尤臻笔妙，有明朝第一之称。亦能画，传世甚少。与文征明、王宠同为明中期有代表性的书法家。"
青釉刻花碗,中国,山西博物馆,北宋,瓷,https://www.shanximuseum.com/cms/a/821.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f6540859db_1336_748_101_0.jpg,高8.4、口径21.1、足径5厘米。,"1986年山西省河曲县五花城村出土。,敞口，斜直壁微弧，小圈足。通体施青釉，足沿一周无釉，釉层光亮，釉面密布小棕眼，釉层中刻花处有较稀疏的小气泡。碗内壁上部一周弦纹，内刻折枝牡丹花，花瓣、花叶都划出花瓣、叶脉纹路，外壁口下一周弦纹。采用“偏刀”、“直刀”、“斜刀”和“篦划”等刻花方法，增加了花纹的立体感。外壁可见清晰修坯弦纹，足沿粘沙。陕西铜川耀州窑烧造。"
黄绿釉绞胎枕,中国,山西博物馆,唐,瓷,https://www.shanximuseum.com/cms/a/820.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f64bbf087b_1336_748_135_0.jpg,高7.5、长13.6、宽8.2厘米。,"1993年山西省朔州市西站出土。,长方形，枕面略下凹，边缘抹角，四壁较直，平底。施黄绿釉，有细密开片，底部无釉。枕系上下两部分接合而成，除底外其余为绞胎。"
徐渭 草书咏月词,中国,山西博物馆,明,纸,https://www.shanximuseum.com/cms/a/867.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/13/s5c11c1a17c0ee.jpg,纸本。纵208厘米，横79厘米。,"此幅书轴笔法奔放狂纵，结体纵横恣肆，诡异奇伟，但笔划沈劲，欹中寓正，为传世珍品。款署“水月”，钤“青藤道士”、“湘管斋”和“公孙大娘”三方印。,徐渭（1521～1593年），字文长，号天池、田水月、青藤老人等。山阴（今浙江绍兴）人。善写意花鸟，兼作山水、人物，行草书师米芾，奔放苍劲中见姿媚。"
人形玉璜,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/707.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2b2fae288_1336_748_142_0.jpg,长9.2厘米。,1992年曲沃县北赵村出土。出于晋侯墓地31号墓。双面纹饰相同，双勾琢刻。一端为人首形，眼晕简略。另一端残缺，有穿孔。
人龙形玉饰,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/708.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2bcfb4fe9_1336_748_118_0.jpg,高2.9厘米，长4.5厘米。,1992年曲沃县北赵村出土。出于晋侯墓地31号墓。置于墓主腹部。两面纹饰相同，皆为双勾加单刻阴线，并运用了透雕技法。内容应与神话传说有关，云冠羽人似在导引前行，龙作回首状。
玉马,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/711.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2e06421e3_1336_748_142_0.jpg,高5厘米，宽7.7厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。灰白色圆雕。马安详经历，颈项粗壮，鼻翼翕张，胸肌略鼓，臀腹紧圆，颇符解剖原理。婉转柔和的双勾阴线云纹表现马的肌理轮廓，兼具写实与装饰之美。惜耳、尾有残。
勾云纹玉璜,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/715.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e30a87fa6e_1336_748_125_0.jpg,长11.5厘米，厚0.4厘米。,1988年太原市金胜村出土。出于赵卿墓。玉质晶莹，制作精致。龙形一身双头，器身遍饰勾云纹。
双系拱形起脊玉饰,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/716.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e314f6893a_1336_748_105_0.jpg,长5.8厘米，厚3.2厘米。,1988年太原市金胜村出土。出于赵卿墓。椭圆形器面以十字凸棱将其分割，其间隐起谷纹。玉质上乘，制作考究。
龙形玉佩,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/714.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2feb47b6f_1336_748_115_0.jpg,长10.1厘米，厚0.6厘米。,1988年太原市金胜村出土。出于赵卿墓，玉质润泽，龙蜷曲弓伏，回首卷尾，全身遍布隐起谷纹，是春秋晚期龙纹的典型式样。
玉牛,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/712.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2e9dd22d0_1336_748_98_0.jpg,高3.7厘米，长7.1厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。黄褐色半圆雕。牛身体后坐，引颈前视，大眼有神，口微张，神态似害怕又好奇。下唇有穿孔，尖角后弯，肌体肥硕，似为水牛犊。阴线刻划，非常简练。商周玉牛卧伏式居多，站立式样较少。
玉罍,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/713.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2f3345a4d_1336_748_94_0.jpg,通高6.2厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。深绿色圆雕，无底。与玉人、熊、牛、鹰等同出于椁室一青铜方盒，可能是墓主生前的玩物。造型雅致，肩饰阴线长尾凤鸟纹，腹浮雕火纹间以四瓣目纹。器型与纹饰均仿自青铜器，甚为稀见。
玉组佩,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/709.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/17/s5c1749f3eab78.jpg,最大璜长15.8厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。由玉璜、玉珩、玉管、料珠、玛瑙管等组成，共有204件。整个玉组佩展开长达2米，纹饰多用双勾技法，工艺精湛。下端2件玉雁昂首展翅，生动活泼。
玉羊,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/710.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2d20b2c96_1336_748_138_0.jpg,高2.5厘米，长5厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。青白玉圆雕，羊卧伏回首，大角内卷。造型简练生动。头、背、尾有隆起的棱脊，极具装饰效果和写意风格。
兽面纹兽耳活环炉,中国,山西博物馆,清,玉,https://www.shanximuseum.com/cms/a/721.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3540aa906.jpg,"高10.4厘米，口径8.4厘米，腹径9.2厘米,底径6.4厘米。",玉质青色。圆形。口为圆唇，颈部一周凹槽，鼓腹，圈足。口两侧凸雕兽首形双耳，兽颌下一长柄至腹，内套活环。梯形高盖，盖顶镂雕蟠螭龙纹。盖口边、底足饰回纹一周，盖面、腹部浅浮雕兽面纹。
玉雕达摩坐像,中国,山西博物馆,明,玉,https://www.shanximuseum.com/cms/a/718.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3280ccfa3_1336_748_94_0.jpg,通高16厘米。,雕工流畅细腻，人体比例恰当，姿态闲适，神情豁达。台座镂雕玲珑剔透，明快自然。
玉螭虎玉剑彘,中国,山西博物馆,汉,玉,https://www.shanximuseum.com/cms/a/717.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e31dddab7d_1336_748_98_0.jpg,长4.7厘米。,1983年朔县出土。高浮雕。螭虎隐现于云气之间，图案写实，形神兼备。
鹰纹玉圭,中国,山西博物馆,新石器时代,玉,https://www.shanximuseum.com/cms/a/722.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e36d5762ef.jpg,长21厘米，宽4厘米，厚0.1厘米,"1971年侯马市煤灰制品厂祭祀坑出土,上下两端磨薄出刃。中部阴刻一展翅的鹰形图案，其下阴刻两组六道横线，再下有一圆穿。"
兽首活环双鱼纹洗,中国,山西博物馆,清,玉,https://www.shanximuseum.com/cms/a/719.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e334fd77d5_1336_748_125_0.jpg,高4.5厘米，口径14.7厘米。,玉质润泽晶莹，造型精致典雅。腹外壁雕“八吉祥”，内壁光滑。底部透雕两条鲶鱼游于荷花之间，意为“连年有余”。
白玉嵌宝石描金碗,中国,山西博物馆,清,玉,https://www.shanximuseum.com/cms/a/720.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e33ea435d7.jpg,高6.9厘米，口径12.2厘米。,乾隆时期作品。碗腹有碎宝石堆贴成花叶相拥的宝相花图案，内壁为石榴纹。边缘皆描金，玉碗加工精巧，装饰工艺独特，纹饰繁缛华贵。
勾云纹玉璜,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/723.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e378b3298d_1336_748_111_0.jpg,长7.2厘米，宽1.8厘米，厚0.2厘米,"1988年太原市金胜村赵卿墓出土,色泽纯净晶莹，龙形一身双头，以细密的绹索纹将器身分为三部分，周身饰勾云纹，顶部和两端皆有对钻的小孔。"
玉鹰,中国,山西博物馆,商,玉,https://www.shanximuseum.com/cms/a/726.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3931b2326_1336_748_111_0.jpg,长4厘米，宽3.5厘米,"2005年曲沃县羊舌村出土,圆雕，呈站立状，玉质莹润，有褐斑。喙部大回勾自然成穿孔，造型质朴而生动。"
勾云纹玉瑗 ,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/725.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e38813dd96_1336_748_108_0.jpg,直径6.7厘米，孔径3.4厘米，厚0.55厘米,"1988年太原市金胜村赵卿墓出土,红褐色，系半成品，肉两侧皆有切割痕迹，仅局部饰勾云纹。"
琉璃串珠,中国,山西博物馆,春秋,玻璃,https://www.shanximuseum.com/cms/a/731.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3cd98a95c_1336_748_78_0.jpg,直径0.6～1.2厘米，长0.9～2.2厘米,"1988年太原市金胜村赵卿墓出土,共13枚。串珠纹饰及质地相同，浅绿色底，球形，两端略平，中一圆孔。器表镶嵌白边深蓝圆点，酷似蜻蜓眼。制作精致，色彩绚丽，图案鲜明，光彩夺目。"
玉兔,中国,山西博物馆,西周,玉,https://www.shanximuseum.com/cms/a/727.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3a54130ad_1336_748_132_0.jpg,长3～3.5厘米，宽2～2.8厘米,"2005年曲沃县羊舌村出土,一组两件，一件白玉，一件青玉。造型稍有不同，白色玉兔作蹲伏状，青色玉兔有跳跃之态，精巧温润，生动优美。"
石椁,中国,山西博物馆,北魏,石,https://www.shanximuseum.com/cms/a/733.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3f1f38d83.jpg,高240厘米，长348厘米，宽338厘米。2000年大同市曹夫楼村太和元年（477年）宋绍祖墓出土。由109件雕凿精细的青石构件拼装而成。外形为悬山顶式殿堂建筑，前设檐廊，面阔三间，一斗三升人字拱为目前所见最早。外壁雕多个铺首衔环，内绘有舞蹈、奏乐人物。是研究北魏建筑艺术的珍贵实物。,
汉白玉石椁,中国,山西博物馆,隋代,石,https://www.shanximuseum.com/cms/a/735.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e40cd9f2f6_1336_748_91_0.jpg,通高217厘米，通长295厘米，宽220厘米。1999年太原市王郭村开皇十二年（592年）虞弘墓出土。整体呈仿木构三开间歇山顶房屋。汉白玉石，由底座、椁身、顶三部分组成，以及支撑石椁的石狮8件。石椁内外皆雕刻并施彩绘，由50多个单体图案组成，内容有宴饮、乐舞、射猎、家居、行旅等。图案中的人物深目高鼻黑发，属于地中海高加索人种，服饰、器皿、乐器、舞蹈及花草树木等，均具有浓厚的中亚和波斯风格，部分画面带有祆教的内容。展现了墓主人不同的文化背景，是研究中外文化交流的重要史料。虞弘是中亚鱼国人，北齐时入华，曾任职于北齐、北周和隋三个朝代。,
玛瑙串饰 ,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/732.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3db7ed9d9_1336_748_84_0.jpg,长约30厘米,"1961年侯马市上马村出土,由玉和玛瑙组成，形状有珠状、管状、片状，有的表面刻有纹饰，色泽鲜亮。"
玉剑璏 ,中国,山西博物馆,春秋,玉,https://www.shanximuseum.com/cms/a/730.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/17/s5c17511738ff5_1336_748_142_0.jpg,长5.2厘米，宽4.2厘米，厚3.1厘米,"1988年太原市金胜村赵卿墓出土,又称剑鼻，装在剑鞘上方，用以贯带系剑于腰。青色有褐斑，玉质晶莹。呈禽鸟状，鸟身上各部位均清晰可辨，其身躯匍匐在地，上饰几何形填纹及蟠虺纹。制作精致，为玉剑璏中之精品。"
菩萨头像,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/736.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e420257974_1336_748_101_0.jpg,长36厘米，宽25.5厘米，厚15厘米。1979年山西省昔阳县静阳村出土。菩萨头戴高冠，头部后有桃形背光，脸型圆润，弯眉细目。眼帘下垂，鼻梁高耸，嘴唇轻拢，面相端庄慈和。原有彩绘多已剥落。,
观音菩萨五尊像,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/734.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e3ffdd7f4a.jpg,高60厘米。1954年太原市花塔村出土。砂石质贴金彩绘，透雕双树背光，高浮雕伎乐飞天及二龙奉塔。主尊观音菩萨头戴花冠，身佩钏饰。,
菩萨头像,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/740.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e44808b168.jpg,高35厘米，最宽27厘米，厚24厘米。1954年山西省太原市花塔寺出土。菩萨头戴花冠，脸型圆润，长耳下垂，弯眉细目。眼微闭，鼻高耸，嘴轻拢，面相端庄慈和，俨然一个世俗美女子的形象。,
菩萨头像,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/739.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e43dca6419.jpg,高35厘米。1959年山西省沁县南涅水出土。菩萨头戴高冠，面相圆润，细眉弯长，双目低垂，鼻高耸，嘴轻抿，嘴角上翘，长耳下垂，一副慈悲为怀的神情。,
佛头像,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/738.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e4352cd08f.jpg,高28.5厘米，宽18厘米，厚18厘米。山西省沁源县出土。螺发，前额略窄，弯眉细目，鼻梁高耸，唇微抿含笑，有双下巴。残存彩绘痕迹。,
张世兴造观音立像,中国,山西博物馆,隋代,石,https://www.shanximuseum.com/cms/a/741.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e4517d52b0.jpg,通高37厘米，底座宽10厘米。山西省平陆县出土。菩萨面方圆，头微低，戴花冠，宝缯下垂，饰项圈臂钏。璎珞垂于膝下，下着裙，腹微突，左臂下垂持净瓶，右手施无畏印，跣足立于仰莲座上。护法狮分立菩萨两侧。台座上有铭文：“开皇元年九月九日佛弟子张世兴为妻妇造观音石像一区……”。该像涂金彩绘，大部已脱落。,
观世音菩萨立像,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/737.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e42c06a25e.jpg,通高57.5厘米，宽32.3厘米，厚31厘米。山西博物院旧藏。菩萨头戴高冠，脸型方圆，双目圆睁，肩披飘带，跣足直立于石座之上。帔帛于胸腹前交叉挽结出花饰。背光顶部残缺，隐约可见后代的墨书题记“观世音菩萨……有佛有法有僧……”等字样。莲花石座为后配。,
兽形觥,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/743.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1b06667ae.jpg,高21.5厘米，长24厘米。1976年灵石县旌介村出土。酒器。整体状如蹲兽。前有宽流，下承高圈足。盖前端为龙首形，与上翘的流口扣合为颈，高浮雕粗角、尖耳，眉目突出，颈部起扉棱至盖面中部；盖后部作兽面，双耳高耸；器腹前、左、右起扉棱，后有兽首形鋬。盖部以云雷纹衬托两个兽头，器身则以三条扉棱为中轴组成兽面主纹，口沿下饰昂首卷尾夔龙纹，圈足饰夔凤纹，均以云雷纹衬地。三层花纹。商代晚期青铜器精品。,
龙形觥,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/744.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1b942bb9b_1336_748_111_0.jpg,高19厘米，长43厘米，宽13.4厘米，1959年石楼县桃花者村出土。酒器。通体呈龙形，前端为龙首，露齿昂翘，瞠目张角，龇牙咧嘴为流。盖面饰龙纹与前端龙首衔接，衬涡旋纹。腹两侧以涡纹和云纹为衬托，主纹饰鼍纹和夔龙纹，头向与龙首相反，颇富动感。一边一对贯耳用于悬挂；圈足饰相对的夔龙纹，更增稳定之感。特别是鼍纹在青铜器中极为少见，鼍即鳄鱼。是商代晚期“方国”青铜文化的代表作品。,
佛五尊像龛,中国,山西博物馆,唐,石,https://www.shanximuseum.com/cms/a/742.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e45f25adef_1336_748_121_0.jpg,通高25.5厘米，宽17厘米，厚7.5厘米。山西博物院旧藏。青石质。拱形龛楣，楣尖处束一莲，楣面素面，楣内侧饰简化的联珠纹样。主像高肉髻，面相长圆清瘦，着通肩大衣，结跏跌坐于须弥台座上，右手施无畏印，左手作降魔触地印。其左右两侧胁侍菩萨头戴高冠，面相长圆，下着长裙，一手抚胸，一手置于身侧，跣足立于台座上。主像后侧两弟子，面相模糊，合掌肃立。台座前侧隐约可辨“咸亨二年”字样，其余字迹漫漶不清。,
铃首剑,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/747.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1e9a4e0f0_1336_748_81_0.jpg,宽4.5厘米。1971年保德县林遮峪村出土。商代晚期“方国”青铜兵器。剑首作扁圆球形镂孔铃，铃内置活动小球。,
舞铙,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/748.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1f4d2db6f_1336_748_84_0.jpg,残长29厘米，柄长11厘米。1976年石楼县曹家垣村出土。商代晚期“方国”青铜乐器。舞动时发出声响，极富北方草原民族特色。,
凤首笄形器,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/746.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1d97e833b_1336_748_111_0.jpg,长17.5厘米，首宽4.5厘米。1959年石楼县桃花者出土。商代晚期“方国”青铜束发器。,
蛇首扁柄斗,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/749.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1ffb5e072_1336_748_108_0.jpg,长37厘米，勺径4.8厘米。1957年石楼县后兰家沟出土。商代晚期“方国”青铜挹注器。柄首镂雕二蛇戏蛙，颇具北方草原文化色彩。,
人首笄形器,中国,山西博物馆,商,铜,https://www.shanximuseum.com/cms/a/750.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f20c3e3558_1336_748_88_0.jpg,长16.5厘米、首宽4厘米。1959年忻县莲寺沟出土。商代晚期“方国”青铜束发器。笄一端作正面人像，顶作齿状高冠。,
