id,artifactName,artifactName_chinese,country,relicTime,relicTime_chinese,material,material_chinese,library,library_chinese,size,size_chinese,description,description_chinese,moreUrl,imageUrl
16,戚继光 行书《送李小山归蓬莱》,戚继光 行书《送李小山归蓬莱》,中国,明,明,绢本,绢本,山西博物馆,山西博物馆,绢本。纵139厘米，横91厘米。,绢本。纵139厘米，横91厘米。,"这首送友人李小山的七言诗用笔奔放，挥洒自如，法黄庭坚。末署“隆庆庚午夏六月孟诸子戚继光书于蓟东之运甓斋”。戚继光遗墨传世稀少，此幅书于1570年，十分珍贵。,戚继光（1528～1588年），字元敬，安徽定远人。抗倭名将，卒谥武毅。有《纪效新书》、《练兵纪实》等传世。","这首送友人李小山的七言诗用笔奔放，挥洒自如，法黄庭坚。末署“隆庆庚午夏六月孟诸子戚继光书于蓟东之运甓斋”。戚继光遗墨传世稀少，此幅书于1570年，十分珍贵。,戚继光（1528～1588年），字元敬，安徽定远人。抗倭名将，卒谥武毅。有《纪效新书》、《练兵纪实》等传世。",https://www.shanximuseum.com/cms/a/866.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133e7cb0e8c.jpg
17,双系拱形起脊玉饰,双系拱形起脊玉饰,中国,春秋,春秋,玉,玉,山西博物馆,山西博物馆,长5.8厘米，厚3.2厘米。,长5.8厘米，厚3.2厘米。,1988年太原市金胜村出土。出于赵卿墓。椭圆形器面以十字凸棱将其分割，其间隐起谷纹。玉质上乘，制作考究。,1988年太原市金胜村出土。出于赵卿墓。椭圆形器面以十字凸棱将其分割，其间隐起谷纹。玉质上乘，制作考究。,https://www.shanximuseum.com/cms/a/716.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e313e545b5.jpg
18,玉雕达摩坐像,玉雕达摩坐像,中国,明,明,玉,玉,山西博物馆,山西博物馆,通高16厘米。,通高16厘米。,雕工流畅细腻，人体比例恰当，姿态闲适，神情豁达。台座镂雕玲珑剔透，明快自然。,雕工流畅细腻，人体比例恰当，姿态闲适，神情豁达。台座镂雕玲珑剔透，明快自然。,https://www.shanximuseum.com/cms/a/718.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e327526c19.jpg
19,玉螭虎玉剑彘,玉螭虎玉剑彘,中国,汉,汉,玉,玉,山西博物馆,山西博物馆,长4.7厘米。,长4.7厘米。,1983年朔县出土。高浮雕。螭虎隐现于云气之间，图案写实，形神兼备。,1983年朔县出土。高浮雕。螭虎隐现于云气之间，图案写实，形神兼备。,https://www.shanximuseum.com/cms/a/717.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/17/s5c174fc1e5e47.jpg
20,兽首活环双鱼纹洗,兽首活环双鱼纹洗,中国,清,清,玉,玉,山西博物馆,山西博物馆,高4.5厘米，口径14.7厘米。,高4.5厘米，口径14.7厘米。,玉质润泽晶莹，造型精致典雅。腹外壁雕“八吉祥”，内壁光滑。底部透雕两条鲶鱼游于荷花之间，意为“连年有余”。,玉质润泽晶莹，造型精致典雅。腹外壁雕“八吉祥”，内壁光滑。底部透雕两条鲶鱼游于荷花之间，意为“连年有余”。,https://www.shanximuseum.com/cms/a/719.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e334188e89.jpg
21,兽面纹兽耳活环炉,兽面纹兽耳活环炉,中国,清,清,玉,玉,山西博物馆,山西博物馆,"高10.4厘米，口径8.4厘米，腹径9.2厘米,底径6.4厘米。","高10.4厘米，口径8.4厘米，腹径9.2厘米,底径6.4厘米。",玉质青色。圆形。口为圆唇，颈部一周凹槽，鼓腹，圈足。口两侧凸雕兽首形双耳，兽颌下一长柄至腹，内套活环。梯形高盖，盖顶镂雕蟠螭龙纹。盖口边、底足饰回纹一周，盖面、腹部浅浮雕兽面纹。,玉质青色。圆形。口为圆唇，颈部一周凹槽，鼓腹，圈足。口两侧凸雕兽首形双耳，兽颌下一长柄至腹，内套活环。梯形高盖，盖顶镂雕蟠螭龙纹。盖口边、底足饰回纹一周，盖面、腹部浅浮雕兽面纹。,https://www.shanximuseum.com/cms/a/721.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e347b8828c.jpg
22,勾云纹玉瑗 ,勾云纹玉瑗 ,中国,春秋,春秋,玉,玉,山西博物馆,山西博物馆,直径6.7厘米，孔径3.4厘米，厚0.55厘米,直径6.7厘米，孔径3.4厘米，厚0.55厘米,"1988年太原市金胜村赵卿墓出土,红褐色，系半成品，肉两侧皆有切割痕迹，仅局部饰勾云纹。","1988年太原市金胜村赵卿墓出土,红褐色，系半成品，肉两侧皆有切割痕迹，仅局部饰勾云纹。",https://www.shanximuseum.com/cms/a/725.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e38746efde.jpg
23,鹰纹玉圭,鹰纹玉圭,中国,新石器时代,新石器时代,玉,玉,山西博物馆,山西博物馆,长21厘米，宽4厘米，厚0.1厘米,长21厘米，宽4厘米，厚0.1厘米,"1971年侯马市煤灰制品厂祭祀坑出土,上下两端磨薄出刃。中部阴刻一展翅的鹰形图案，其下阴刻两组六道横线，再下有一圆穿。","1971年侯马市煤灰制品厂祭祀坑出土,上下两端磨薄出刃。中部阴刻一展翅的鹰形图案，其下阴刻两组六道横线，再下有一圆穿。",https://www.shanximuseum.com/cms/a/722.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e36caa4171.jpg
24,社火表演砖雕,社火表演砖雕,中国,金,金,陶,陶,山西博物馆,山西博物馆,高19～20厘米，宽28～39厘米。,高19～20厘米，宽28～39厘米。,1965年侯马市出土。共6件。内容有蛮牌舞、乔妇人、村田乐、变阵子、扑旗子等。以儿童为主的社火表演，场面热烈欢快，构图朴拙，充满生活气息。宋以来民间乐舞百戏兴盛，从晋南金元墓葬丰富的砖雕中可见一斑。,1965年侯马市出土。共6件。内容有蛮牌舞、乔妇人、村田乐、变阵子、扑旗子等。以儿童为主的社火表演，场面热烈欢快，构图朴拙，充满生活气息。宋以来民间乐舞百戏兴盛，从晋南金元墓葬丰富的砖雕中可见一斑。,https://www.shanximuseum.com/cms/a/678.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0dfb6a0f590.jpg
25,白玉嵌宝石描金碗,白玉嵌宝石描金碗,中国,清,清,玉,玉,山西博物馆,山西博物馆,高6.9厘米，口径12.2厘米。,高6.9厘米，口径12.2厘米。,乾隆时期作品。碗腹有碎宝石堆贴成花叶相拥的宝相花图案，内壁为石榴纹。边缘皆描金，玉碗加工精巧，装饰工艺独特，纹饰繁缛华贵。,乾隆时期作品。碗腹有碎宝石堆贴成花叶相拥的宝相花图案，内壁为石榴纹。边缘皆描金，玉碗加工精巧，装饰工艺独特，纹饰繁缛华贵。,https://www.shanximuseum.com/cms/a/720.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/15/s5c14ccec9b172.png
26,灰陶绳纹卵腹三足瓮,灰陶绳纹卵腹三足瓮,中国,夏,夏,陶,陶,山西博物馆,山西博物馆,高72厘米，腹径60厘米。,高72厘米，腹径60厘米。,1956年太原市光社村出土。泥质灰陶，通体饰绳纹。又叫蛋形瓮，其渊源应是仰韶文化尖底瓶与河套地区土著文化蛋形瓮。该器着地平稳，又利于通风防潮，非常实用，很有地域特色。山西新石器时代晚期以来，沿用很久。,1956年太原市光社村出土。泥质灰陶，通体饰绳纹。又叫蛋形瓮，其渊源应是仰韶文化尖底瓶与河套地区土著文化蛋形瓮。该器着地平稳，又利于通风防潮，非常实用，很有地域特色。山西新石器时代晚期以来，沿用很久。,https://www.shanximuseum.com/cms/a/682.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0dfe87ee8e3.jpg
27,八仙人物砖雕,八仙人物砖雕,中国,金,金,陶,陶,山西博物馆,山西博物馆,高52～54厘米，上宽17.5～19厘米，下宽42～43厘米。,高52～54厘米，上宽17.5～19厘米，下宽42～43厘米。,1965年侯马市牛村出土。共8块，大小相同。八仙分别雕于八块梯形砖上，是墓内藻井部分的主要装饰物。颔下长须，袒胸露乳者，为八仙之首的铁拐李，以下依次为汉钟离、吕洞宾、蓝采和、韩湘子、张果老、曹国舅和徐神翁。八个人物雕刻技法娴熟，线条流畅，造型优美。八仙是民间喜闻乐见的神仙题材，寄托了百姓向往吉祥长寿和逍遥自在的美好愿望。金元时期，其成员构成尚未固定。这套砖雕是较早的八仙人物形象资料。,1965年侯马市牛村出土。共8块，大小相同。八仙分别雕于八块梯形砖上，是墓内藻井部分的主要装饰物。颔下长须，袒胸露乳者，为八仙之首的铁拐李，以下依次为汉钟离、吕洞宾、蓝采和、韩湘子、张果老、曹国舅和徐神翁。八个人物雕刻技法娴熟，线条流畅，造型优美。八仙是民间喜闻乐见的神仙题材，寄托了百姓向往吉祥长寿和逍遥自在的美好愿望。金元时期，其成员构成尚未固定。这套砖雕是较早的八仙人物形象资料。,https://www.shanximuseum.com/cms/a/679.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0dfc23967c5.jpg
28,勾云纹玉璜,勾云纹玉璜,中国,春秋,春秋,玉,玉,山西博物馆,山西博物馆,长7.2厘米，宽1.8厘米，厚0.2厘米,长7.2厘米，宽1.8厘米，厚0.2厘米,"1988年太原市金胜村赵卿墓出土,色泽纯净晶莹，龙形一身双头，以细密的绹索纹将器身分为三部分，周身饰勾云纹，顶部和两端皆有对钻的小孔。","1988年太原市金胜村赵卿墓出土,色泽纯净晶莹，龙形一身双头，以细密的绹索纹将器身分为三部分，周身饰勾云纹，顶部和两端皆有对钻的小孔。",https://www.shanximuseum.com/cms/a/723.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/17/s5c1750060b198.jpg
