artifactName,country,relicTime,material,library,size,description,moreUrl,imageUrl
Shouxing,中国,19. Jh.,Bronze,Ethnologisches Museum,"Objektmaß: H: 33,5 cm, L: 32 cm, B: 10 cm","""Gott des Langen Lebens"". Bärtiger Mann mit überhöhtem Kopf in weitem gegürtetem Gewand, hält in der Rechten eine Schriftrolle. Die Linke hielt einen Altersstab, welcher fehlt. Er sitzt quer auf einem trabenden Hirsch, der im Maul einen Pfirsichzweig mit Früchten, Blüten und Blättern hält. Ein gleicher Zweig liegt über der Kruppe.",https://id.smb.museum/object/146951/shouxing,https://recherche.smb.museum/images/49/496868_1200x1200.jpg
Fengshui-Geomant 風水師,中国,"Qing (Mandschu) –Dynastie (Ende), vor 1896","Papier, Tusche, Pigment",Ethnologisches Museum,"Blattmaß: 23,7 x 32,4 cm (mit Ergänzungen),Passepartout: 39 x 53 cm,Gewicht: 8,3 g","""Der Wahrsager prüft mit seinem Kompaß die glückbringende Grablage und günstige Zeit für das Begräbnis"".
Aus: Müller, Claudius, Wu, Shun-chi (Hg.):  Wege der Götter und Menschen, Ausstellungskatalog, Berlin, Staatliche Museen, Museum für Völkerkunde, 1989, S.102 f.",https://id.smb.museum/object/139933/fengshui-geomant-%E9%A2%A8%E6%B0%B4%E5%B8%AB,https://recherche.smb.museum/images/14/1465832_1200x1200.jpg
Klöpfel,中国,,Holz,Ethnologisches Museum,"Höhe x Durchmesser: 24,5 x 13,5 cm","Klöpfel (Schlegel). <zu IB 2092 -""Modell eines Bogens zum Lockern der Wolle"" * fehlt !>",https://id.smb.museum/object/193418/klopfel,https://recherche.smb.museum/images/49/495441_1200x1200.jpg
Der Ebergeist Zhu Bajie,中国,Qing (Mandschu) –Dynastie (Ende),"Papier mit Japanpapier kaschiert, Tusche, Farben",Ethnologisches Museum,"Blattmaß: 25,3 x 14,3 cm,Passepartout: 38 x 29 cm",,https://id.smb.museum/object/147001/der-ebergeist-zhu-bajie,https://recherche.smb.museum/images/64/6463640_1200x1200.jpg
Szene aus dem Theaterstück Cuipingshan: Der Cuiping-Berg ( 翠屏山),中国,"Qing (Mandschu) –Dynastie (Ende), vor 1888",Papier,Ethnologisches Museum,"Blattmaß: 19,8 x 20,0 cm",Szene aus dem Theaterstück Cuipingshan.,https://id.smb.museum/object/139766/szene-aus-dem-theaterstuck-cuipingshan-der-cuiping-berg--%E7%BF%A0%E5%B1%8F%E5%B1%B1,https://recherche.smb.museum/images/15/1577480_1200x1200.jpg
Etui für Akupunkturnadeln,中国,,Textil,Ethnologisches Museum,"Objektmaß: 8,5 x 23,5 x 1 cm,Gewicht: 30 g","Stoffetui mit bunter Stickerei, innen eine Fledermaus. Inhalt: Akupunkturnadeln.",https://id.smb.museum/object/137366/etui-fur-akupunkturnadeln,https://recherche.smb.museum/images/49/497867_1200x1200.jpg
Etui für Akupunkturnadeln,中国,,Textil; Metall,Ethnologisches Museum,"Objektmaß: 14 x 7,7 x 3,2 cm,Gewicht: 93,5 g",Stoffetui mit Zugbändern  und Blütenstickerei. Inhalt: Akupunkturnadeln.,https://id.smb.museum/object/137365/etui-fur-akupunkturnadeln,https://recherche.smb.museum/images/59/598520_1200x1200.jpg
Handgelenkstütze für Pulsdiagnose,中国,,Keramik,Ethnologisches Museum,"Höhe x Breite: 6 x 9,4 cm",,https://id.smb.museum/object/137380/handgelenkstutze-fur-pulsdiagnose,https://recherche.smb.museum/images/59/598526_1200x1200.jpg
Handgelenkstütze für Pulsdiagnose,中国,,Keramik,Ethnologisches Museum,"Höhe x Breite: 5,8 x 13 cm",,https://id.smb.museum/object/137379/handgelenkstutze-fur-pulsdiagnose,https://recherche.smb.museum/images/86/862862_1200x1200.jpg
Handgelenkstütze für Pulsdiagnose,中国,,Pflanzenfaser,Ethnologisches Museum,Höhe x Breite: 4 x 16 cm H: 4 cm,,https://id.smb.museum/object/137378/handgelenkstutze-fur-pulsdiagnose,https://recherche.smb.museum/images/59/598524_1200x1200.jpg
Pulskissen,中国,,Keramik,Ethnologisches Museum,"Höhe x Breite: 5,7 x 9,3 cm","Pulskissen mit rostrote Blätter.
(Pulsdiagnose-Handgelenkstütze)",https://id.smb.museum/object/137383/pulskissen,https://recherche.smb.museum/images/86/862898_1200x1200.jpg
Massagerolle,中国,20. Jh.(Ende),Holz,Ethnologisches Museum,"Länge x Breite x Höhe: 17,7 x 8,4 x 6 cm,Gewicht: 145 g",,https://id.smb.museum/object/137405/massagerolle,https://recherche.smb.museum/images/86/865185_1200x1200.jpg
Apothekenwerbetafel,中国,,Holz; Lack,Ethnologisches Museum,Objektmaß: 42 x 112 x 6 cm,,https://id.smb.museum/object/137446/apothekenwerbetafel,https://recherche.smb.museum/images/28/2803406_1200x1200.jpg
Der Gelehrte Li Shizhen 李時珍 (1518-1593),中国,"Republik China, ca. 1912-1949",Glasierte Keramik mit bemaltem Inkarnat,Ethnologisches Museum,"Objektmaß: 29,5 x 11 x 11 cm,Gewicht: 1,4 kg",Li Shizhen (1518-1593) war Autor der bis heute berühmten pflanzenkundlichen und pharmazeutischen Enzyklopädie Bencao gangmu. (vgl. Inv. Nr. I D  47896 (01).,https://id.smb.museum/object/137421/der-gelehrte-li-shizhen-%E6%9D%8E%E6%99%82%E7%8F%8D-1518-1593,https://recherche.smb.museum/images/85/859582_1200x1200.jpg
Münzschwert,中国,Qing (Mandschu) –Dynastie (Mitte),"Messing, Seide",Ethnologisches Museum,"Länge: 45 cm,Breite: 13 cm,Objektmaß: 45 x 13 x 1,5 cm","Apotropäisches Schwert zur Abwehr von Dämonen. zusammengesetzt aus Münzen der Qianlong-Zeit.
Publ.:  Unschuld, Paul: Huichun- Chinesische Heilkunde in historischen Objekten und Bildern, Berlin/München (Veröffentlichungen des Museums für Völkerkunde Berlin. Neue Folge 62, Abteilung Ostasien III. 1995, S. 200 (Tafl 152)",https://id.smb.museum/object/137411/munzschwert,https://recherche.smb.museum/images/27/2720885_1200x1200.jpg
Akupressurstift,中国,,Holz,Ethnologisches Museum,"Länge x Durchmesser: 7,5 x 1,7 cm,Gewicht: 8,6 g",,https://id.smb.museum/object/137358/akupressurstift,https://recherche.smb.museum/images/59/598517_1200x1200.jpg
Pulskissen,中国,,Keramik,Ethnologisches Museum,"Höhe x Breite: 6 x 9,6 cm","Pulskissen mit Blütendekor.
(Pulsdiagnose-Handgelenkstütze)",https://id.smb.museum/object/137381/pulskissen,https://recherche.smb.museum/images/59/598527_1200x1200.jpg
Handgelenkstütze für Pulsdiagnose,中国,10./11. Jh.,Keramik,Ethnologisches Museum,"Objektmaß: 5,7 x 11,4 x 7,5 cm,Gewicht: 423 g",,https://id.smb.museum/object/137382/handgelenkstutze-fur-pulsdiagnose,https://recherche.smb.museum/images/59/598528_1200x1200.jpg
Schlachtenbild zur Serie des Feldzuges gegen die Miao,中国,,Kupfer,Ethnologisches Museum,"Höhe: 59,5 cm,Breite: 91 cm,Gewicht: 12 kg",Erste Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795: Die Mobilisierung der Truppen ( 兴师图 Raising an army),https://id.smb.museum/object/807984/schlachtenbild-zur-serie-des-feldzuges-gegen-die-miao,https://recherche.smb.museum/images/58/5830884_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 59 cm,Breite: 94,5 cm,Gewicht: 12,2 kg",Siebte Kupferdruckplatte aus der Serie „Gurkha Kampagne“ 1792: Die Eroberung von Palanggu (攻克帕朗古 Capture of Palanggu),https://id.smb.museum/object/807982/kupferdruckplatte,https://recherche.smb.museum/images/58/5830882_1200x1200.jpg
"""Kangzi bietet (Konfuzius) Arzneidrogen an"" (康子饋藥 Kangzi kuei yao)",中国,20.Jh. (Anfang),Papier,Ethnologisches Museum,"Blattmaß: mit Fassung 163,5 x 64,5 cm,Bemalte Bildfläche: 101,5 x 55,7 cm,Länge: Stange 71,7 cm,Gewicht: 440 g","Publ. mit Übersetzung der Aufschrift in: Unschuld, Paul Huichun-Rückkehr in den Frühling, München (Prestel)/ Berlin (Museum für Völkerkunde), 1995, S. 63",https://id.smb.museum/object/137505/kangzi-bietet-konfuzius-arzneidrogen-an-%E5%BA%B7%E5%AD%90%E9%A5%8B%E8%97%A5-kangzi-kuei-yao,https://recherche.smb.museum/images/74/746679_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 60 cm,Breite: 91,5 cm,Gewicht: 13 kg",Zweite Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795:Die Gefangennahme der Miao-Banditen bei Xiushan ( 剿捕秀山苗匪 Reinforcements Arriving at the Battle against the Miao at Xiushan),https://id.smb.museum/object/807991/kupferdruckplatte,https://recherche.smb.museum/images/58/5830886_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 58,5 cm,Breite: 92 cm,Gewicht: 12 kg",Sechste Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795: Die Eroberung von Lancaoping und Gunniupo (攻克兰草坪滚牛坡 The Victorious Battle at Lancaoping),https://id.smb.museum/object/807992/kupferdruckplatte,https://recherche.smb.museum/images/58/5830888_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 59 cm,Breite: 92,5 cm,Gewicht: 14 kg","Fünfte Kupferdruckplatte aus der Serie ""Gurkha Kampagne"" 1792: Die Eroberung von Xiebulu (攻克协布噜 Capture of Xiebulu)",https://id.smb.museum/object/807977/kupferdruckplatte,https://recherche.smb.museum/images/58/5830879_1200x1200.jpg
Schlachtenbild zur Serie des Feldzuges gegen die Miao,中国,,Kupfer,Ethnologisches Museum,"Höhe: 62 cm,Breite: 93,5 cm,Gewicht: 11,5 kg","Elfte Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795: Die Eroberung von Liujiachong und die Lebend-Gefangennahme des Rebellenanführers Shi Sanbao (攻克廖家冲生擒首逆石三保  The Victorious Battle at Liaojiazhong, culminating in the Beheading of Shishanbao)",https://id.smb.museum/object/807998/schlachtenbild-zur-serie-des-feldzuges-gegen-die-miao,https://recherche.smb.museum/images/22/2215949_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 60 cm,Breite: 91 cm,Gewicht: 12 kg",Siebte Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795: Der Sieg über die Rebellen bei den Huangguazha (攻克黄瓜寨巢贼  The Victorious Battle over the Bandits at Huanghua),https://id.smb.museum/object/807997/kupferdruckplatte,https://recherche.smb.museum/images/58/5830892_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 60,5 cm,Breite: 93 cm,Gewicht: 12,5 kg",Dreizehnte Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795: Die Eroberung und Niederzwingung von Huxiao (攻克强虎哨 The Victorious Battle to Overcome Huxiao),https://id.smb.museum/object/807999/kupferdruckplatte,https://recherche.smb.museum/images/58/5830897_1200x1200.jpg
Schlachtenbild zur Serie des Feldzuges gegen die Miao,中国,,Kupfer,Ethnologisches Museum,"Höhe: 60,5 cm,Breite: 93 cm,Gewicht: 13,5 kg",Fünfte Kupferdruckplatte aus der Serie „Miao (Hunan) Kampagne“ 1795: Die Niederschlagung der Miao-Banditen bei Tukongzhai und die Aufhebung der Belagerung der Stadt Yongsui (大剿土空寨苗匪解永绥城围 The Siege of Yongsui City),https://id.smb.museum/object/807995/schlachtenbild-zur-serie-des-feldzuges-gegen-die-miao,https://recherche.smb.museum/images/58/5830890_1200x1200.jpg
"Die Meldung der Eroberung von Gelayi, Darstellung aus dem Jinchuan - Feldzug  金川国",中国,1775/1776,Kupfer,Ethnologisches Museum,"Höhe x Breite: 58 x 93 cm lt. KK,Gewicht: 15 kg","Dreizehnte Kupferdruckplatte aus der Serie ""Jinchuan-Feldzug"" 1771-1776 (Goldstromland): Die Siegesbotschaft von der Eroberung von Gelayi (攻克噶喇依报捷 Victory promulgation of the conquest of Gelayi)",https://id.smb.museum/object/808106/die-meldung-der-eroberung-von-gelayi-darstellung-aus-dem-jinchuan---feldzug--%E9%87%91%E5%B7%9D%E5%9B%BD,https://recherche.smb.museum/images/58/5818007_1200x1200.jpg
Kupferdruckplatte,中国,,Kupfer,Ethnologisches Museum,"Höhe: 59 cm,Breite: 90 cm,Gewicht: 12 kg","Erste  Kupferdruckplatte aus der Serie „Chong Miao (Yunnan) Feldzug“ 1795: Der Angriff auf die Zhong Miao bei Nanlong (剿捕仲苗南笼围解, Attack on the Chong-Miao)",https://id.smb.museum/object/808078/kupferdruckplatte,https://recherche.smb.museum/images/58/5830901_1200x1200.jpg
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt"" (Daoguang-Turkestan-Serie)«PersonenInst_»«Geog_Bezug»«Mat_Technik»«Maßangaben»InsImg<«Standardfoto»",中国,"Daoguang, nach 1829",Kupfer,Ethnologisches Museum,"Höhe x Breite: 60 x 96,5 cm,Gewicht: zu prüfen: 4 kg","Neunte Kupferdruckplatte aus der Serie „zweite Ost-Turkestan Kampagne“ 1828: Dem Kaiser werden am Wumen-Tor die Gefangenen vorgeführt (午门受俘仪式, The Emperor is presented with prisoners at the Wu-men (Middlegate)",https://id.smb.museum/object/808132/audienz-vor-dem-mittagstor-wumen-der-verbotenen-stadt-daoguang-turkestan,https://recherche.smb.museum/images/58/5817827_1200x1200.jpg
Linienzieher (Zimmermann),中国,,Holz; Metall; Horn; Textil; Ruß,Ethnologisches Museum,Länge: 23 cm,"Le Coq ""Volkskundliches, S. 58: ""Linienzieher"" (karliq, qarliq) der Zimmerleute, Tischler. Der Farbenbehälter besteht aus der Spitze eines Yakhornes, der mit Kupfer beschlagen ist.""",https://id.smb.museum/object/194829/linienzieher-zimmermann,https://recherche.smb.museum/images/52/527773_1200x1200.jpg
Brust- und Rückenpanzer,中国,vor 1912,"Leder, Urushi",Ethnologisches Museum,"Höhe: 37 cm,Durchmesser: 48 cm","Aus der Erstveröffentlichung:
""4. Panzer. a) Neuer Panzer. I.D. 24966 (Taf.III,2). Der Panzer besteht aus zwei grossen Platten für Brust und Rücken, acht kleineren Platten zum Schutz des Leibes und einem Hüftkranz von sechs Reihen kleinerer Platten. Die Platten bestehen sämtlich aus dickem Leder, das innen gelb und außen rot lackiert ist. Die Verbindung der Platten untereinander erfolgt durch Verschnürung vermittels weißer Lederstreifen.
Die Grundlage der Konstruktion bildet für die Vorder- wie für die Rückseite des Panzers je ein Stab aus dem gleichen Material wie die Platten,19 cm lang, 4 cm breit, oben etwas zugespitzt, außen rot und innen schwarz lackiert. An den Stab schließen sich rechts und links zwei Platten an, die von dem Stabe überlagert werden und mit ihm durch je vier Löcher hindurch verschnürt sind. Der obere zugespitzte Teil des Stabes liegt in einer Nase auf der Innensseite des Brust- resp. Rückenschildes. Dieses Schild wird in seiner Lage gehalten durch Verschnürungen, die es durch ein Loch  mit dem Mittelstab, durch je drei Löcher mit den sich an diesen anschließenden Platten verbinden.
Das Brustschild zeigt oben, herzförmig, eine Einbuchtung, seine Höhe an den höchsten Stellen beträgt ca. 36 cm, seine untere Breite 23 cm.
Das Rückenschild entspricht bin seiner Form im allgemeinen dem Brustschild, zeigt oben aber eineSpitze und ist bis zu dieser 38 cm hoch. Die mittleren Vorder- und Rückenplatten haben ungefähr die gleiche Form und Maße, es sind Rechtecke von 18 zu 12 cm. Die Seitenplatten sind oben ausgebuchtet, um die Bewegungender Arme nicht zu hindern und messen unten 10 1/2 cm bei einer geringsten Höhe von 17 cm und einer höchsten Höhe von 24 cm. Die Platten überlagern einander und sind untervsich durch Lederverschnürungen, die durch je vier Löcher hindurchgehen, verbunden. Die beiden Seitenplatten rechts sind nicht verbunden, um das  Anlegen des Panzers zu ermöglichen. Wo die Platten aufeinander liegen, ist zu ihrer Schonung ein Streifen blauen Zeuges zwischen ihnen befestigt. An dem unteren Rande der großen Platten sind, diese überlagernd, die kleinen Platten der obersten Reihe des Hüftkranzes befestigt, ebenfalls - wie die großen Platten untereinander - mit Lederstreifen, die nach unten laufen, dann durch Löcher in den Platten der zweiten reihe gehen, die die erste überlagert, und weiterhin ebenso die dritte, vierte, fünfte und sechste REihe der kleinen Platten tragen. Jede Plattenreihe bist etwas größer, so daß´der ganze Hüftkranz, sich nach unten verbreiternd, ziemlich steif und weit vom Körper absteht. Während die Taillenweite des geschlossenen Panzers nur 80 (!) cm beträgt, ist der äußere Umfang der untersten Plattenreihe des Hüftkranzes etwa 175 cm. Die Platten der letzten Reihe sind zudem am unteren Rande in fast rechtemn Winkel nach außen geknickt und verstärken so den Eindruck des Abstehens. Die BEfestigung des Panzers auf dem Körper geschieht anscheinend lediglich durch einen breiten Lederstreifen, der durch die  Verschnürung der obersten Plattenreihe des Hüftkranzes läuft und an einem Ende eine Schlaufe trägt. Der Befestigung dient wohl auch ein breiter Riemen, der an den Enden geteilt und mit diesen in den beiden Vorder- und Rückenplatten festgeknotet ist. Es scheint, als wenn dieser Riemen bestimmt sei, über eine Schulter gelegt zu werden.
Das helle Rot des Panzers, sowie die gelbe Bemalung der Brust - und Rückenschilde und der Platten geben im Verein mit der weißen Lackverschnürung, die auf den beiden Mittelstäben besonders kunstvoll ist, dem Panzer einschmuckes Aussehen. Der Schutz, den der Panzer gewährt, kann dagegen nur gegen Pfeilschüsse und vielleicht auch gegen Lanzenstöße einigermaßen wirksam sein, zudem wird durch ihn nur ein Teil des Körpers gedeckt.
Parallelen zu diesem Panzer sind kaum bekannt, doch scheint - soweit sich nach den  erhaltenen Bildern urteilen läßt - eine gewisse, wenn auch entfernte Verwandtschaft mit den alt-chinesischen Panzern vorhanden zusein.""  Zitat aus: Mueller, Herbert: Beiträge zur Ethnographie der Lolo. Katalog der Sammlung Weiss im Kgl. Museum für Völkerkunde zu Berlin. In: Baessler-Archiv, Band III, 1913, S.58 f, Taf. III,2.
Vgl. auch : Nahser, Siegmar: Die Yi-Sammlung in den Staatlichen Museen zu Berlin, Ethnologisches Museum. In: Chinas Volk der grossen kühlen Berge. Die Yi gestern und heute. Duisburg (Kultur- und Stadthistorisches Museum), 2006, S. 63",https://id.smb.museum/object/824536/brust--und-ruckenpanzer,https://recherche.smb.museum/images/11/1146990_1200x1200.jpg
(Abreibung vom Stein I D 27097),中国,"Qing (Mandschu) –Dynastie (Ende), vor 1906","Papier, Tusche",Ethnologisches Museum,Höhe x Breite: 73 x 141 cm,"Steinabreibung von  der im Ethnologischen Museum vorhandenen Steinplatte.
Genaue Beschreibung der bildlichen Darstellungen siehe unter  I D 27097 . Eine Abreibung vom gleichen Stein ist publ. in:  Chavannes, Édouard Mission Archáeologique dans la Chine Septentrionale (planches), Paris, 1909, No 170. (Siegmar Nahser, 2007).",https://id.smb.museum/object/813544/abreibung-vom-stein-i-d-27097,https://recherche.smb.museum/images/23/2337925_1200x1200.jpg
Keramiktopf mit Deckel,中国,,Keramik,Ethnologisches Museum,Höhe x Durchmesser: a: 15 cm,"Gefäss (zum Aufbewahren von Zucker?): a) Topf und b) Deckel
An der Seite Papierbanderole mit chinesischen Schriftzeichen.",https://id.smb.museum/object/195002/keramiktopf-mit-deckel,https://recherche.smb.museum/images/15/1535983_1200x1200.jpg
Keramikgefäß,中国,,Keramik,Ethnologisches Museum,Höhe x Durchmesser: 6 x 27 cm,"Gefäss: 3 Schalen bzw. Teller, grün.",https://id.smb.museum/object/195003/keramikgefass,https://recherche.smb.museum/images/30/3007252_1200x1200.jpg
Shouxing; Gott des langen Lebens,中国,,Elfenbein,Ethnologisches Museum,Höhe: 22 cm,,https://id.smb.museum/object/583791/shouxing-gott-des-langen-lebens,https://recherche.smb.museum/images/94/943660_1200x1200.jpg
Eine Inkarnation daoistischer Reinheit: 元始天尊 (Yuanzhi tianzun),中国,Ming-Dynastie (?),"Bronze, lackiert",Ethnologisches Museum,"Objektmaß: 40 x 20,5 x 14,5 cm (auf Sockel),Objektmaß: 10,5 x 20,8 x 13,8 cm (Sockel)","Die Bronzefigur ""Einer der drei taoistischen Reinheiten"" ist mit Goldbraunlack überzogen. Sie stellt einen alten vollbärtigen Mann mit einem separaten Lotossockel dar. Die Figur ist innen hohl. Das großohrige Gesicht zeigt ein leichtes Lächeln. das Haar ist auf  dem Scheitel zu einem Knoten zusammen genommen, der von einer Lotoskrone umgeben ist. Die Krone wird von einem Ling-chi-Pilz (oder einem Jui-Zepter) überragt. Der Körper ist von einem weitärmeligen, auf der Brust durch eine Schleife geschlossenen Mantel bedeckt, die Beine sind im Lotossitz übereinandergeschlagen. Die beiden Hände befinden sich in Brusthöhe: Die Linke hält eine (Sonnen- ?) Scheibe, die Rechte ist ohne Attribut. Der schwere Sockel ist hohl. Vorn schneidet er gerade ab und biegt sich hinten zum Halbrund. Er ist mit Lotosblättern bedeckt. Er geht in einen Fuß über, der vorn in einem Rankenmuster durchbrochen ist. (Karteikartentext aus der Zeit kurz nach der Erwerbung 1967).",https://id.smb.museum/object/583788/eine-inkarnation-daoistischer-reinheit-%E5%85%83%E5%A7%8B%E5%A4%A9%E5%B0%8A-yuanzhi-tianzun,https://recherche.smb.museum/images/94/943638_1200x1200.jpg
"Zho Chang, der Begleiter des Kriegsgottes Guan Yu",中国,20. Jh.,"Pappmaché, bemalt",Ethnologisches Museum,"Höhe x Breite: 23 x 16,5 cm","Theatermaske des Zho Chang, der Begleiter des Kriegsgottes Guan Yu. &nbsp; Gesichtsmasken der Peking-Oper wurden traditionell direkt auf die Gesichter der Darsteller gemalt. Aus Ton sind sie mittlerweile eine Kunst für sich geworden. Es gibt viele verschiedene Gesichtsmaskentypen für die unterschiedlichen Rollen im Drama. Je nach Muster und Farben können erfahrene Zuschauer unterscheiden, ob die Rolle ein Held oder ein Schurke ist; ob er intelligent oder töricht ist; ob er von anderen geliebt wird oder ob sie sich vor ihm ekeln.",https://id.smb.museum/object/583981/zho-chang-der-begleiter-des-kriegsgottes-guan-yu,https://recherche.smb.museum/images/59/5954125_1200x1200.jpg
Rasselstab eines Derwisch,中国,,"Holz, Eisen",Ethnologisches Museum,"Höhe x Breite x Tiefe: 4 x 40,5 x 10,5 cm (wie auf Foto; H: geschätzt),Gewicht: < 2 kg","Holzstab mit etwa in der Mitte des Stabes befestigtem Metallring, an dem Metallkettenglieder befestigt sind.",https://id.smb.museum/object/193596/rasselstab-eines-derwisch,https://recherche.smb.museum/images/32/3207058_1200x1200.jpg
Porträt des Dörbed-Fürsten Cering,中国,um 1755 ( 18.Jh..),Ölmalerei auf Papier,Ethnologisches Museum,"Blattmaß: 69,7 x 54,6 cm,Kartonformat: 72,2 x 56,6 cm,Höhe x Breite: 70 x 54,5 cm lt. KK",,https://id.smb.museum/object/146719/portrat-des-dorbed-fursten-cering,https://recherche.smb.museum/images/61/6177143-xl_1200x1200.jpg
Keramikgefäß,中国,,"Keramik, glasiert, Trageriemen aus Leder",Ethnologisches Museum,"Höhe x Breite x Tiefe: 17,7 x 15,5 x 7,8 cm (mit Fuß und Ausguß),Gewicht: < 2  kg",Gefäss: Reiseflasche mit Abbild der Pakwa. angeblich 100 Jahre alt.,https://id.smb.museum/object/195023/keramikgefass,https://recherche.smb.museum/images/15/1535992_1200x1200.jpg
Götternische (mu diao shenzuo 木彫神座),中国,,,Ethnologisches Museum,Objektmaß: 88 x 34 x 23 cm,,https://id.smb.museum/object/146737/gotternische-mu-diao-shenzuo-%E6%9C%A8%E5%BD%AB%E7%A5%9E%E5%BA%A7,https://recherche.smb.museum/images/15/1573878_1200x1200.jpg
Schreibpinsel,中国,19. Jh.,Elfenbeinzahn,Ethnologisches Museum,"Länge: 30 cm,Durchmesser: 1,3 cm",Schreibpinsel mit Elfenbeingriff,https://id.smb.museum/object/146777/schreibpinsel,https://recherche.smb.museum/images/14/1465838_1200x1200.jpg
