id,artifactName,artifactName_Chinese,country,relicTime,relicTime_chinese,material,material_Chinese,library,library_Chinese,size,size_Chinese,description,description_Chinese,moreUrl,imageUrl,order_time
11,灰陶绳纹卵腹三足瓮,灰陶绳纹卵腹三足瓮,中国,夏,夏,陶,陶,山西博物馆,山西博物馆,高72厘米，腹径60厘米。,高72厘米，腹径60厘米。,1956年太原市光社村出土。泥质灰陶，通体饰绳纹。又叫蛋形瓮，其渊源应是仰韶文化尖底瓶与河套地区土著文化蛋形瓮。该器着地平稳，又利于通风防潮，非常实用，很有地域特色。山西新石器时代晚期以来，沿用很久。,1956年太原市光社村出土。泥质灰陶，通体饰绳纹。又叫蛋形瓮，其渊源应是仰韶文化尖底瓶与河套地区土著文化蛋形瓮。该器着地平稳，又利于通风防潮，非常实用，很有地域特色。山西新石器时代晚期以来，沿用很久。,https://www.shanximuseum.com/cms/a/682.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0dfe87ee8e3.jpg,11
12,灰陶绳纹甗,灰陶绳纹甗,中国,夏,夏,陶,陶,山西博物馆,山西博物馆,高22.8厘米，口径16厘米。,高22.8厘米，口径16厘米。,灰陶，侈口，窄沿，深腹，上腹两侧有“鋬耳”下腹缓收成鬲分裆，三足外撇，甑与甬之间附加堆纹一周，整个器物拍印绳纹。,灰陶，侈口，窄沿，深腹，上腹两侧有“鋬耳”下腹缓收成鬲分裆，三足外撇，甑与甬之间附加堆纹一周，整个器物拍印绳纹。,https://www.shanximuseum.com/cms/a/686.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e192ea549c.jpg,12
13,玉鹰,玉鹰,中国,商,商,玉,玉,山西博物馆,山西博物馆,高10.3厘米，宽4.3厘米。,高10.3厘米，宽4.3厘米。,1993年曲沃县北赵村晋侯墓地63号墓出土。商代遗物。青绿色，局部有褐色青斑。圆雕立鹰，头上有龙冠，其龙首较大，有瓶形角，臣字目，龙口张开，齿外露，咬住鹰首突起物。体躯短小，尾上卷恰似鹰冠 ，并刻有鳞纹。玉鹰钩喙，方目，鼓胸，双翼略翘，作展翅状，腿粗壮，爪作钩抓状，尾部及地。颈部饰鳞纹，胸腹饰卷云纹。纹饰精致，线条娴熟流畅。墓主人为晋穆侯次夫人。,1993年曲沃县北赵村晋侯墓地63号墓出土。商代遗物。青绿色，局部有褐色青斑。圆雕立鹰，头上有龙冠，其龙首较大，有瓶形角，臣字目，龙口张开，齿外露，咬住鹰首突起物。体躯短小，尾上卷恰似鹰冠 ，并刻有鳞纹。玉鹰钩喙，方目，鼓胸，双翼略翘，作展翅状，腿粗壮，爪作钩抓状，尾部及地。颈部饰鳞纹，胸腹饰卷云纹。纹饰精致，线条娴熟流畅。墓主人为晋穆侯次夫人。,https://www.shanximuseum.com/cms/a/695.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e21407d86c.jpg,13
14,兽形觥,兽形觥,中国,商,商,铜,铜,山西博物馆,山西博物馆,高21.5厘米，长24厘米。,高21.5厘米，长24厘米。,1976年灵石县旌介村出土。酒器。整体状如蹲兽。前有宽流，下承高圈足。盖前端为龙首形，与上翘的流口扣合为颈，高浮雕粗角、尖耳，眉目突出，颈部起扉棱至盖面中部；盖后部作兽面，双耳高耸；器腹前、左、右起扉棱，后有兽首形鋬。盖部以云雷纹衬托两个兽头，器身则以三条扉棱为中轴组成兽面主纹，口沿下饰昂首卷尾夔龙纹，圈足饰夔凤纹，均以云雷纹衬地。三层花纹。商代晚期青铜器精品。,1976年灵石县旌介村出土。酒器。整体状如蹲兽。前有宽流，下承高圈足。盖前端为龙首形，与上翘的流口扣合为颈，高浮雕粗角、尖耳，眉目突出，颈部起扉棱至盖面中部；盖后部作兽面，双耳高耸；器腹前、左、右起扉棱，后有兽首形鋬。盖部以云雷纹衬托两个兽头，器身则以三条扉棱为中轴组成兽面主纹，口沿下饰昂首卷尾夔龙纹，圈足饰夔凤纹，均以云雷纹衬地。三层花纹。商代晚期青铜器精品。,https://www.shanximuseum.com/cms/a/743.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1afacb5a9.jpg,14
15,玉人,玉人,中国,商,商,玉,玉,山西博物馆,山西博物馆,高9.7厘米。,高9.7厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。商代遗物。圆雕人形，长脸宽颌，宽鼻阔嘴，浓眉大眼。发式为一对犄角形，螺旋前耸。抱拳曲立，腰侧佩一龙形器。方头鞋下有片状榫头，表明原先可能插于某物件上。看造型和装束，似有某种巫术含义。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓。商代遗物。圆雕人形，长脸宽颌，宽鼻阔嘴，浓眉大眼。发式为一对犄角形，螺旋前耸。抱拳曲立，腰侧佩一龙形器。方头鞋下有片状榫头，表明原先可能插于某物件上。看造型和装束，似有某种巫术含义。,https://www.shanximuseum.com/cms/a/704.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e2924a9553.jpg,15
16,虎饰匕形器,虎饰匕形器,中国,商,商,铜,铜,山西博物馆,山西博物馆,首宽4.6厘米。,首宽4.6厘米。,1959年石楼县桃花者出土。商代晚期“方国”青铜器。匕面一虎，大头长尾，衔物前行，虎目嵌绿松石。,1959年石楼县桃花者出土。商代晚期“方国”青铜器。匕面一虎，大头长尾，衔物前行，虎目嵌绿松石。,https://www.shanximuseum.com/cms/a/745.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1c782728e.jpg,16
17,龙形觥,龙形觥,中国,商,商,铜,铜,山西博物馆,山西博物馆,高19厘米，长43厘米，宽13.4厘米,高19厘米，长43厘米，宽13.4厘米,1959年石楼县桃花者村出土。酒器。通体呈龙形，前端为龙首，露齿昂翘，瞠目张角，龇牙咧嘴为流。盖面饰龙纹与前端龙首衔接，衬涡旋纹。腹两侧以涡纹和云纹为衬托，主纹饰鼍纹和夔龙纹，头向与龙首相反，颇富动感。一边一对贯耳用于悬挂；圈足饰相对的夔龙纹，更增稳定之感。特别是鼍纹在青铜器中极为少见，鼍即鳄鱼。是商代晚期“方国”青铜文化的代表作品。,1959年石楼县桃花者村出土。酒器。通体呈龙形，前端为龙首，露齿昂翘，瞠目张角，龇牙咧嘴为流。盖面饰龙纹与前端龙首衔接，衬涡旋纹。腹两侧以涡纹和云纹为衬托，主纹饰鼍纹和夔龙纹，头向与龙首相反，颇富动感。一边一对贯耳用于悬挂；圈足饰相对的夔龙纹，更增稳定之感。特别是鼍纹在青铜器中极为少见，鼍即鳄鱼。是商代晚期“方国”青铜文化的代表作品。,https://www.shanximuseum.com/cms/a/744.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10a4a717035.jpg,17
18,玉熊,玉熊,中国,商,商,玉,玉,山西博物馆,山西博物馆,高5.1厘米，宽4.5厘米。,高5.1厘米，宽4.5厘米。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓，商代遗物，共两件。造型略同，古朴生动。圆雕熊团身蹲坐，前掌抱抚于膝。,1993年曲沃县北赵村出土。出于晋侯墓地63号墓，商代遗物，共两件。造型略同，古朴生动。圆雕熊团身蹲坐，前掌抱抚于膝。,https://www.shanximuseum.com/cms/a/705.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e29d9c0dab.jpg,18
19,凤首笄形器,凤首笄形器,中国,商,商,铜,铜,山西博物馆,山西博物馆,长17.5厘米，首宽4.5厘米。,长17.5厘米，首宽4.5厘米。,1959年石楼县桃花者出土。商代晚期“方国”青铜束发器。,1959年石楼县桃花者出土。商代晚期“方国”青铜束发器。,https://www.shanximuseum.com/cms/a/746.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1d8f6d3c5.jpg,19
20,蛇首扁柄斗,蛇首扁柄斗,中国,商,商,铜,铜,山西博物馆,山西博物馆,长37厘米，勺径4.8厘米。,长37厘米，勺径4.8厘米。,1957年石楼县后兰家沟出土。商代晚期“方国”青铜挹注器。柄首镂雕二蛇戏蛙，颇具北方草原文化色彩。,1957年石楼县后兰家沟出土。商代晚期“方国”青铜挹注器。柄首镂雕二蛇戏蛙，颇具北方草原文化色彩。,https://www.shanximuseum.com/cms/a/749.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1ff20c65b.jpg,20
21,人首笄形器,人首笄形器,中国,商,商,铜,铜,山西博物馆,山西博物馆,长16.5厘米、首宽4厘米。,长16.5厘米、首宽4厘米。,1959年忻县莲寺沟出土。商代晚期“方国”青铜束发器。笄一端作正面人像，顶作齿状高冠。,1959年忻县莲寺沟出土。商代晚期“方国”青铜束发器。笄一端作正面人像，顶作齿状高冠。,https://www.shanximuseum.com/cms/a/750.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f20b6c29c8.jpg,21
22,铃首剑,铃首剑,中国,商,商,铜,铜,山西博物馆,山西博物馆,宽4.5厘米。,宽4.5厘米。,1971年保德县林遮峪村出土。商代晚期“方国”青铜兵器。剑首作扁圆球形镂孔铃，铃内置活动小球。,1971年保德县林遮峪村出土。商代晚期“方国”青铜兵器。剑首作扁圆球形镂孔铃，铃内置活动小球。,https://www.shanximuseum.com/cms/a/747.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10c60d86249.jpg,22
23,舞铙,舞铙,中国,商,商,铜,铜,山西博物馆,山西博物馆,残长29厘米，柄长11厘米。,残长29厘米，柄长11厘米。,1976年石楼县曹家垣村出土。商代晚期“方国”青铜乐器。舞动时发出声响，极富北方草原民族特色。,1976年石楼县曹家垣村出土。商代晚期“方国”青铜乐器。舞动时发出声响，极富北方草原民族特色。,https://www.shanximuseum.com/cms/a/748.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/11/s5c0f1f41881b4.jpg,23
24,玉鹰,玉鹰,中国,商,商,玉,玉,山西博物馆,山西博物馆,长4厘米，宽3.5厘米,长4厘米，宽3.5厘米,"2005年曲沃县羊舌村出土,圆雕，呈站立状，玉质莹润，有褐斑。喙部大回勾自然成穿孔，造型质朴而生动。","2005年曲沃县羊舌村出土,圆雕，呈站立状，玉质莹润，有褐斑。喙部大回勾自然成穿孔，造型质朴而生动。",https://www.shanximuseum.com/cms/a/726.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e392106a97.jpg,24
25,乳钉纹簋,乳钉纹簋,中国,商,商,青铜,青铜,山西博物馆,山西博物馆,通高18.8cm，口径25.2cm,通高18.8cm，口径25.2cm,一级文物。公安机关移交。高圈足，敞口盆形，乳钉纹相对突出，鸟喙龙纹和兽面都具有商晚期殷墟特色。,一级文物。公安机关移交。高圈足，敞口盆形，乳钉纹相对突出，鸟喙龙纹和兽面都具有商晚期殷墟特色。,https://www.shanximuseum.com/cms/a/8206.html,https://www.shanximuseum.com/uploads/20210528/890e956352f37cc6d0ce0702ee514f66.jpg,25
26,兽面纹斝,兽面纹斝,中国,商,商,青铜,青铜,山西博物馆,山西博物馆,口径21.5cm，高42cm,口径21.5cm，高42cm,一级文物，公安机关移交。扉棱发达，兽面纹饰复杂而工整，器物足部背面的凹槽留有范土。 属商代晚期风格。,一级文物，公安机关移交。扉棱发达，兽面纹饰复杂而工整，器物足部背面的凹槽留有范土。 属商代晚期风格。,https://www.shanximuseum.com/cms/a/8208.html,https://www.shanximuseum.com/uploads/20210528/a004fbd74032d9eb67c86504f953a30a.jpg,26
27,子匿鼎,子匿鼎,中国,商,商,青铜,青铜,山西博物馆,山西博物馆,通高21.6cm，口径长16.7cm，口径宽14cm，耳径17.8cm,通高21.6cm，口径长16.7cm，口径宽14cm，耳径17.8cm,一级文物。公安机关移交。长方槽形，上大下小，双立耳，直口，腹壁微斜，四隅出扉棱，平底，四柱足。腹部以扉棱为中心饰四组兽面纹，以云雷纹衬底，内壁铸“子匿”2 字铭文。,一级文物。公安机关移交。长方槽形，上大下小，双立耳，直口，腹壁微斜，四隅出扉棱，平底，四柱足。腹部以扉棱为中心饰四组兽面纹，以云雷纹衬底，内壁铸“子匿”2 字铭文。,https://www.shanximuseum.com/cms/a/8211.html,https://www.shanximuseum.com/uploads/20210528/0da6bbe66c56bb714810928295fb1a8f.jpg,27
28,兽面纹龙首提梁卣,兽面纹龙首提梁卣,中国,商,商,铜,铜,山西博物馆,山西博物馆,高34.8厘米。,高34.8厘米。,1959年石楼县桃花者村出土。盛酒器，整体如椭圆形。龙首形提梁，饰方格纹。腹部花纹由雷纹、目纹、夔纹和蝉纹等组成倒置的兽面纹，圈足饰有一圈云雷纹。商代晚期。,1959年石楼县桃花者村出土。盛酒器，整体如椭圆形。龙首形提梁，饰方格纹。腹部花纹由雷纹、目纹、夔纹和蝉纹等组成倒置的兽面纹，圈足饰有一圈云雷纹。商代晚期。,https://www.shanximuseum.com/cms/a/916.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10a52d21383.jpg,28
29,云雷地乳钉纹瓿,云雷地乳钉纹瓿,中国,商,商,铜,铜,山西博物馆,山西博物馆,高20.5厘米，腹径29厘米。,高20.5厘米，腹径29厘米。,1957年石楼县后兰家沟村出土。盛水器或盛酒器。敛口，溜肩，鼓腹，圈足。颈部饰双弦纹，肩部高浮雕三个兽首（或羊首），肩饰目雷纹组成的夔纹，腹部饰斜方格云雷地乳钉纹，圈足饰雷纹。通体光亮如新，纹饰细腻规整。商代晚期。,1957年石楼县后兰家沟村出土。盛水器或盛酒器。敛口，溜肩，鼓腹，圈足。颈部饰双弦纹，肩部高浮雕三个兽首（或羊首），肩饰目雷纹组成的夔纹，腹部饰斜方格云雷地乳钉纹，圈足饰雷纹。通体光亮如新，纹饰细腻规整。商代晚期。,https://www.shanximuseum.com/cms/a/613.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/07/s5c0a354ed8519.jpg,29
30,鸮卣,鸮卣,中国,商,商,铜,铜,山西博物馆,山西博物馆,高19.7厘米，口长径12厘米，短径8.6厘米。,高19.7厘米，口长径12厘米，短径8.6厘米。,1956年石楼县二郎坡村出土。盛酒器。形如两鸮相背而立。盖为双鸮首，环目，尖喙，弯眉，盖中央置四阿顶方柱钮，饰雷纹。腹作双鸮身，子口微敛，垂鼓腹饰卷曲羽翼纹。身下为四爪，两两相背。盖腹相合，两鸮昂首背立。商代晚期青铜器精品。不仅实用，也是精美的艺术品。鸮是我国古代对猫头鹰一类鸟的统称。,1956年石楼县二郎坡村出土。盛酒器。形如两鸮相背而立。盖为双鸮首，环目，尖喙，弯眉，盖中央置四阿顶方柱钮，饰雷纹。腹作双鸮身，子口微敛，垂鼓腹饰卷曲羽翼纹。身下为四爪，两两相背。盖腹相合，两鸮昂首背立。商代晚期青铜器精品。不仅实用，也是精美的艺术品。鸮是我国古代对猫头鹰一类鸟的统称。,https://www.shanximuseum.com/cms/a/319.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/07/s5c0a359e6a643.jpg,30
31,凤鸟纹提梁卣,凤鸟纹提梁卣,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,通高23.5厘米，腹径16厘米,通高23.5厘米，腹径16厘米,"2006年绛县横水墓地出土,器盖和器身以子母口扣合，盖和内底均铸有“作宝尊彝”四字铭文。双兽头提梁，梁山饰四组变形兽纹，以方形突起分割。盖为椭圆形，盖面有圈形捉手，饰两组相对凤鸟纹，盖沿饰波曲纹。鼓腹下垂，圈足，器身饰三组纹饰，通体均以云雷纹衬底。","2006年绛县横水墓地出土,器盖和器身以子母口扣合，盖和内底均铸有“作宝尊彝”四字铭文。双兽头提梁，梁山饰四组变形兽纹，以方形突起分割。盖为椭圆形，盖面有圈形捉手，饰两组相对凤鸟纹，盖沿饰波曲纹。鼓腹下垂，圈足，器身饰三组纹饰，通体均以云雷纹衬底。",https://www.shanximuseum.com/cms/a/944.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10c5008ebd9_344_344_0_85.jpg,31
32,兽面纹方彝,兽面纹方彝,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,高37厘米，口长22厘米，口宽15.8厘米,高37厘米，口长22厘米，口宽15.8厘米,"2006年绛县横水墓地出土,长方体，盖和盖钮均作四坡式屋顶形，侈口，束颈，腹微曲。花纹浮雕。盖和腹的四面饰双龙组成的内卷角大兽面，阔口獠牙，巨睛利爪。口沿下饰双体龙纹。方圈足饰长冠垂尾凤鸟。自盖至足的四隅皆有扉棱。颇显凝重大方。此为倗国铜器。","2006年绛县横水墓地出土,长方体，盖和盖钮均作四坡式屋顶形，侈口，束颈，腹微曲。花纹浮雕。盖和腹的四面饰双龙组成的内卷角大兽面，阔口獠牙，巨睛利爪。口沿下饰双体龙纹。方圈足饰长冠垂尾凤鸟。自盖至足的四隅皆有扉棱。颇显凝重大方。此为倗国铜器。",https://www.shanximuseum.com/cms/a/947.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b55ebc811_344_344_0_72.jpg,32
33,兽形觥,兽形觥,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,高29厘米，长30.5厘米,高29厘米，长30.5厘米,"2006年绛县横水墓地出土,方体，龙头盖，腹壁微曲。龙头张口露齿，唇上饰蛇纹，盖上饰龙纹和兽面纹，口沿以下饰花冠凤鸟、长冠凤鸟和弯角龙纹。觥体四壁和圈足分别饰内卷角大兽面和长冠凤鸟，均以雷纹填地。主体花纹之上又以阴线刻花，形成三层花，豪华富丽。此为倗国铜器。","2006年绛县横水墓地出土,方体，龙头盖，腹壁微曲。龙头张口露齿，唇上饰蛇纹，盖上饰龙纹和兽面纹，口沿以下饰花冠凤鸟、长冠凤鸟和弯角龙纹。觥体四壁和圈足分别饰内卷角大兽面和长冠凤鸟，均以雷纹填地。主体花纹之上又以阴线刻花，形成三层花，豪华富丽。此为倗国铜器。",https://www.shanximuseum.com/cms/a/946.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b50e37997_344_344_0_78.jpg,33
34,兽面纹尊,兽面纹尊,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,高27.5厘米，口径27厘米,高27.5厘米，口径27厘米,"2006年绛县横水墓地出土,体方口圆，腹微鼓。四角有扉棱。花纹粗犷，无地纹。自口沿以下饰蕉叶龙纹和鸟纹，腹部饰大卷角兽面纹，圈足饰兽目交连纹。此为倗国铜器。","2006年绛县横水墓地出土,体方口圆，腹微鼓。四角有扉棱。花纹粗犷，无地纹。自口沿以下饰蕉叶龙纹和鸟纹，腹部饰大卷角兽面纹，圈足饰兽目交连纹。此为倗国铜器。",https://www.shanximuseum.com/cms/a/948.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b5dc451b7_344_344_0_82.jpg,34
