country,library,link,imageurl,size,artifactName,relicTime,material,description
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-KOG-311-B,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height  21.5 cm,Pear-shaped bottle vase with a crackled glaze,c. 1800 - c. 1899,porcelain,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-6446-B,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height  23.9 cm,Vase (rolwagen) with a scholar-official and his servants in a landscape,c. 1645 - c. 1660,porcelain,"Kleine cilindrische vaas (rolwagen) van porselein met een spreidende hals, beschilderd in onderglazuur blauw en op het glazuur rood, groen, geel, aubergine en zwart. Op de wand een hoogwaardigheidsbekleder in een landschap met planten, een bananenplant, rotsen en bergen. Achter hem een bediende met een waaier; een tweede bediende draagt een verpakt voorwerp (boek?). Op de hals tweemaal een plant. De onderzijde is ongeglazuurd. Overgangsporselein met emailkleuren."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1995-3,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,,Figuur van geleerde of wijze,1700 - 1800,ivory,Beeldje van een geleerde of wijze op bijbehorend voetstuk met vogels en bloemen.
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RBK-15941-K,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height  3 cm,Saucer with a Chinese junk and the arms of Amsterdam,c. 1800 - c. 1899,porcelain,"Schotel van porselein, beschilderd op het glazuur in blauw, rood, roze, groen, geel, zwart en goud. Op de voorzijde van de schotel een Chinese jonk met bemanning op de golven, daarboven het wapen van Amsterdam. Wapenporselein."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/BK-NM-3685,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height c. 32.5 cm × width  53.8 cm,Fragment zijde met veelkleurig borduurwerk in zijde,c. 1760,silk,Fragment witte zijde met veelkleurig borduurwerk. Het patroon heeft bloemtakken waartussen vogels en insecten.
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RBK-15811-E-1,https://lh3.ggpht.com/brgHwjZU5noiQOknvSeP7O3loNLGLmzFXE_RiaBJ1yjIWhQTcr6oRdrsC86G3x06We4ujISLk0KnUlRheUrINXnsMuM=w200,height  5.7 cm,Cup with twisted panels with flower sprays,c. 1680 - c. 1720,porcelain,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1994-12,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height  3.1 cm,Plate with the arms of the Pelgrom family,c. 1700 - before 1713,porcelain,"Bord van porselein, beschilderd in onderglazuur blauw. Op het plat een vogel op een rots bij bloeiende planten en een vlinder; de wand en rand afwisselend met gebladerde schelpmotieven waaronder een masker met ranken en een medaillon met bloemtakken waaronder een ruyi-motief; op de wand en rand het wapen van de familie Pelgrom omgeven door acanthusbladeren; het helmteken, een Chinese man, oprijzend uit een lotusbloem. De achterzijde met drie kostbaarheden (boeken, artimisiablad, muzieksteen). Gemerkt op de onderzijde met twee vissen in een dubbele cirkel. Wapenporselein in blauw-wit."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1994-7-C,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height  3.3 cm,Plate with the arms of the Van Idsinga family,c. 1775 - c. 1799,porcelain,"Klein bord van porselein, beschilderd op het glazuur in blauw, rood, roze, groen, zwart en goud. Op het plat het wapen van de familie Van Idsinga met een blauwe achtergrond met een zilveren roos of bloem en een paar gouden klavers. Het helmteken is een pauw en het wapen wordt omgeven door bladranken; op de wand een decoratieve band; de rand met een band met bloemranken omvat door twee decoratieve banden. Wapenporselein met emailkleuren."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1994-5,https://lh3.googleusercontent.com/zUmc88v9OSYOYu9_eURdsU72QNN1I64D7bGENeTzfSjpFoa48s4rss98Yi9A_GhZTE7FqT5YC-Eu17UmtDWDZ4X85fPM-x9nbrEVMCgV=w200,height  5.3 cm,Dish,c. 1680 - c. 1699,porcelain,"Schotel van porselein, beschilderd in onderglazuur blauw. Op het plat een vogel op een rots bij bloeiende planten (pioen). Op de wand en rand afwisselend grote lotusranken en een gelobd cartouche met een gestileerde bloeiende plant. Hiertussen het wapen van de familie Pelgrom omgeven door acanthusbladeren en als helmteken een Aziatisch figuur. Wapenporselein in blauw-wit."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-6468-B,https://lh6.ggpht.com/YDpPRF34UNrJumTf4YKTYf6m326uNYWO9B8A6qsavTnNCRpoHJH5uHIbJRQBABtr9FQeZfSUm_raNELKw3g4yNkIeNc=w200,height c. 76 cm,Draak/zeemonster,1850 - 1875,earthenware,"Draak/zeemonster, bestaande uit twee delen, verbonden met een houten staaf. De draak staat op zijn onderkaak, de staart steekt omhoog. Blauw, bruin, rood en wit geglazuurd en beschilderd."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-1716,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  85 cm × width  38 cm × depth  26 cm,Two guardian figures,c. 618 - c. 906,earthenware,"Graffiguur of beeld van aardewerk in de vorm van een wachter met een helm, gedeeltelijk bedekt met een groen en geel glazuur. Tang."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-8597,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,diameter  4 cm,"Kleine, ronde, ivoren doos met gegraveerde parelmoeren fiches",1825 - 1875,ivory,"Kleine, ronde doos met een bolle deksel. De deksel en zijkanten gedecoreerd in hoogreliëf. Op de deksel een curieuze voorstelling van drie bomen omgeven door en hek; op de zijkanten een landschap met huizen zonder figuren; op de bodem een bloem in laagreliëf. Op de binnenzijde van de deksel een vaag restant van een Chinees karakter in Chinese inkt. De fiches zijn voorzien van een fijne kartelrand en zijn gegraveerd met verschillende smalle, decoratieve banden. In het centrum aan de voorzijde een Chinese man bij een boom. Alle fiches (12?) behalve één zitten vastgeklemd in de doos. Waarschijnlijk maakte dit doosje deel uit van een grotere spelletjesdoos."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7014,https://lh4.ggpht.com/U4FL1aA27giO5uGAc6nF7udeebZMtRrg7Jd60QWagZtC4T_KZSfGVSoEF3k2uxHL6zqGv4kqF1td4S6UhDPuXnEPW64=w200,diameter  3.5 cm × height  5 cm,Doos van ivoor in de vorm van een ei met een opengewerkte wand,1775 - 1800,ivory,"Doos van ivoor in de vorm van een ei. Deksel is van de doos te draaien, de naad loopt midden over het lichaam. De wand is door middel van C-voluten in verschillende compartimenten verdeeld die met geometrische patronen zijn opengewerkt."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-6728,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,,Fles waarop drie figuren,,,"Fles, waarop drie figuren. Gemerkt."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7008,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  7 cm × width  7 cm × depth  1.8 cm,"Puzzel in een ivoren, opengewerkte doos met schuifdeksel",1800 - 1850,ivory,"Vierkante doos met een schuifdeksel, De deksel is opengewerke en bevat een groot medaillon met daarin een op een bank liggende dame die met haar bovenlichaam tegen een stapel boeken aan steunt; daarnaast twee bedienden. In en buiten het medaillon verder bloemranken. De zijkanten zijn tweemaal met een draak en tweemaal met een bloeiende of vruchtdragende boom versierd, in vrij ondiep reliëf. De onderkant met een gezelschap in een landschap in ondiep reliëf. In het doosje zeven ajour gewerkte puzzelstukjes."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-1729,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  13.1 cm,Stemmed cup,c. 1200 - c. 1399,stoneware,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-8596,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  9.1 cm × width  5.2 cm × depth  0.9 cm,"Notitieboek van ivoor met vijf bladen, een gesneden band en zilveren sluiting",1825 - 1875,ivory,"Rechthoeking notitieboekje met aan de onderzijde een scharnierpunt en aan de bovenzijde een slot, beide van zilver. het boekje opent als een waaier en bevat vijf dunne, vlakke bladen, tussen een met snijwerk versierd voor- en achterblad. Aan de buitenzijde in reliëf voorstellingen van Chinezen bij paviljoens en bomen. De linker lange zijde is doorboord en biedt plaats aan een (niet meer aanwezige) grafiet-schrijfstift."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7015,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  3 cm × diameter  3.8 cm,"Kleine, ronde, ivoren doos met deksel",1825 - 1875,ivory,"Kleine, ronde doos met een bol deksel. Rondom besneden in hoogreliëf met op het deksel drie Chinezen bij een boom en een paviljoen; rond de zijkant een landschap met huizen zonder figuren en op de bodem een bloem in laagreliëf. Op de binnenzijde van de deksel het restant van een Chinees karakter in zwarte inkt."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7012,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  3.5 cm × width  7 cm × depth  2.5 cm,Speldenkussen met onder- en bovenblad van ivoor,1825 - 1875,ivory,"Speldenkussen met onder- en bovenblad van ivoor. De bladen hebben een geschulpte rand, waarin ter decoratie een rij eenvoudige gaatjes zijn geboord; daarbinnen Chinese dames bij een tafel in een landschap. Het kussen van (verkleurd) rood fluweel."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-1696,https://lh4.ggpht.com/U4FL1aA27giO5uGAc6nF7udeebZMtRrg7Jd60QWagZtC4T_KZSfGVSoEF3k2uxHL6zqGv4kqF1td4S6UhDPuXnEPW64=w200,height  4.5 cm × diameter  19 cm,Saucer-dish with incised floral and foliate scrolls,c. 1100 - c. 1199,stoneware,"Schaal van steengoed, bedekt met een groen glazuur. Op de voorzijde een medaillon met een bloemrank. Op de binnenwand een band met bladranken. Celadon (Yaozhou)."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1999-4,https://lh4.ggpht.com/U4FL1aA27giO5uGAc6nF7udeebZMtRrg7Jd60QWagZtC4T_KZSfGVSoEF3k2uxHL6zqGv4kqF1td4S6UhDPuXnEPW64=w200,height  19.3 cm,Kendi with flowering plants and auspicious motifs in a panel decoration,c. 1600 - c. 1649,porcelain,"Kendi van porselein met een bolvormig lichaam, borst-vormige tuit en een lange nek, beschilderd in onderglazuur blauw. De nek is iets uitlopend om aan de bovenzijde om weer scherp bijeen te komen in een korte rand. De buik is licht gemodelleerd in brede en smalle vakken. In de brede vakken afwisselend bloeiende planten of gelukssymbolen (rol) met strikken en kwasten. De smalle vakken met strepen en stippen. Op de schouder een band met een swastikapatroon onderbroken door cartouches met een fruittak (perzik). De tuit is verdeeld in vier vakken met daarin stippen, een perziktak en één van de Acht Kostbaarheden (ruit). Op de hals tweemaal een bloemtak. Rond de rand een band met gestileerde ruyi-motieven. Een chip in de rand van de tuit. Kraakporselein in blauw-wit."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7123,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  6.5 cm × width  8.8 cm × depth  0.9 cm,"Plaat van ivoor, gesneden in de vorm van een schelp",1800 - 1850,ivory,"Plaat met een geschulpte rand met een meander band; daarbinnen in reliëf een voorstelling van prunus, bamboe en (heel klein) pijnboom bij een rots."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-1706,https://lh4.ggpht.com/U4FL1aA27giO5uGAc6nF7udeebZMtRrg7Jd60QWagZtC4T_KZSfGVSoEF3k2uxHL6zqGv4kqF1td4S6UhDPuXnEPW64=w200,height  3.8 cm,Brush washer with a red glaze,c. 1800 - c. 1899,porcelain,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7016,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,,Cachet met een ivoren handvat in de vorm van een Chinese vrouw,c. 1800 - c. 1850,ivory,Een cachet met een handvat in de vorm van een Chinese vrouw met een lotusbloem in de hand. Op het cachet zelf een staande leeuw.
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-1705-A,https://lh4.ggpht.com/U4FL1aA27giO5uGAc6nF7udeebZMtRrg7Jd60QWagZtC4T_KZSfGVSoEF3k2uxHL6zqGv4kqF1td4S6UhDPuXnEPW64=w200,height  5.2 cm,Saucer-dish with a red glaze,c. 1736 - c. 1795,porcelain,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7009,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  5.3 cm × width  5.3 cm × depth  1.1 cm,Ivoren puzzel in een doos,1800 - 1850,ivory,Vierkante ivoren doos met een schuifdeksel. In de doos een puzzel van zeven stukken. Op de deksel een gezelschap van twee zittende en twee staande dames in een tuin met bomen en paviljoens tegen een opengewerkte achtergrond van geometrische motieven. Op de zijkanten huisjes en bomen in reliëf; op de onderzijde een bloem in laag-reliëf. De puzzelstukjes zijn voorzien van opengewerkte bloemranken.
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-7017,https://lh3.googleusercontent.com/oLsB_1dlQCE85TIWKcD4o9cUwZIZPIX2RE7Q7OpiEGInwJHp2iGj3yjqEC9TD-tnQK1UnXFs3buX_SYCaDZSxcezuVwKNBZv-I_wDHI=w200,height  7.2 cm × diameter  3 cm,Ivoren cachet of sierstuk met een opengewerkte bal,c. 1800 - c. 1850,ivory,"Vaasvormig sierstuk, wellicht bedoeld als cachet. Op een vlakke voet staat een bol lichaam in de vorm van een opengewerkte bal met drie binnen-ballen, gedecoreerd met ranken in reliëf. Een lange, wijd uitlopende hals met verschillende verdikkingen en ranken. Op de bovenzijde scherpe noppen, op de onderzijde een bloem in laag- reliëf."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-TN-1948-B,https://lh4.ggpht.com/U4FL1aA27giO5uGAc6nF7udeebZMtRrg7Jd60QWagZtC4T_KZSfGVSoEF3k2uxHL6zqGv4kqF1td4S6UhDPuXnEPW64=w200,height  32 cm,Pair of gourd-shaped bottles,c. 1600 - c. 1624,porcelain,"Kalebasvormige fles van porselein, de wanden gemodelleerd in vakken, beschilderd in onderglazuur blauw. Het onderste deel van het lichaam is gemodelleerd in granaatappelvormige vakken met bloeiende planten; het bovenste deel is gemodelleerd in rechthoekige vakken met een bloemtak (chrysant, aster, pioen), een vaas met paddenstoel (lingzhi) en boeken op een kruk of een wierookbrander op een kruk, hieronder en -boven vakken met een decoratief patroon; de hals met langwerpige vakken met bloemtakken met hieronder en -boven vakken met een decoratief patroon; om de schouder een band met lotusranken in geschulpte cartouches. Twee duidelijke hechtingslijnen in het lichaam. Kraakporselein."
