artifact_name,artifact_country,artifact_library,artifact_time,artifact_size,artifact_category,artifact_image,artifact_url,artifact_description
巨型绿松石《武当朝圣图》,中国,湖北博物馆,,"高44公分, 宽32公分, 厚25公分",工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/ff0d096769e99e0c39c8c928a389b2c7.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9380.html,作者：袁嘉骐 作品规格（不含独山玉底座）：高44公分、 宽32公分、厚25公分；重量28公斤 创作时间：1988年——1992年 原料特色： 颜色为天蓝色，纯正匀净，质地细腻，形状好，经中国地质大学宝石研究所和英国皇家学院及有关专家检测鉴定，为当时中国及至世界最大的绿松石原生料，属罕见的稀世珍宝。 作品题材内容和艺术风格： 作品取材于中国古代神话故事，正面雕有87位神仙到武当山朝圣，背面表现了武当月色、百鹤投林及朝圣者夜归等意境。作者按玉料的自然形态和纹理，采用兼工带写的手法，人物刻画逼真细致，造型雍容华贵，尽显仙风道骨。作品中云雾缭绕，层峦叠嶂，金殿高耸，苍松翠柏，亭台楼阁，小桥流水，宏伟庄严中蕴含着浩淼幽深的仙气，使观者大有超凡脱尘、云雾笼身之感。 获奖情况： 1992年轻工业部轻艺（1992）8号文明确该作品为国家级珍品项目。 1994年在“中国一绝产品国际展评会”上获国家最高奖“真绝杯”和“中国一绝”称号。 2008年由中国工艺美术馆、中国工艺美术学会举办的中国传统工艺美术精品大展（北京·2008）获金奖。
犀牛（18cm*11.5cm*6.5cm）,中国,湖北博物馆,,18cm*11.5cm*6.5cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/a8e6fdbdbe5bb787e4789bc4adcfb848.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9375.html,作者:楚卫东 材质:百鹤石 年代:2013年 形制:动物摆件 纹饰:仿青铜器 主要特征:作品采用由湖北鹤峯地区特产距今四亿多年的海底单细胞古生物化石“百鹤石”精心雕刻而，造型借鉴古代青铜器，结合“百鹤石”炫烂朴拙的天然纹理，显得格外沉稳、古朴，彰显出人类手工技艺与大自然鬼斧神工的完美结合。 获奖情况:2013年获“百花杯中国工艺美术精品奖”铜奖。
国画《春江水暖》,中国,湖北博物馆,,尺寸：69*69 cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/0a53f26470ef84852f583efa8dbd61f0.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9378.html,作者：李孟 尺寸：69*69 cm 材质：宣纸 年代：2021年 主要通过描绘荷塘里小鸭子快活戏水，表现出万物复苏，花草盛开，小动物为迎接新季节的到来而欢乐的场景。作品景物造型准确，笔墨熟练轻松，气韵生动，意境深远，准确的把握动态中的花鸟，并且能在情景交融中体现出转瞬即逝的情趣。此花鸟画的精彩之处，不仅在于捕捉、再现自然世界中的动静之美，更将人类内心世界中的情感、意志、理想与草木花石、飞鸟虫鱼“物我合一”，在形似神肖、鲜活多姿中，构建出比真实自然更具感染力的花鸟世界，体现出画家深厚的艺术功力。
四灵聚瑞（10cm*8cm*2.5cm）,中国,湖北博物馆,,10cm*8cm*2.5cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/69496a97c3c41f0a2ae693aac784fadd.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9376.html,作者:楚卫东 材质:和田白玉青花料 年代:2015年 形制:玉雕手把件 纹饰:图腾、瓦当 主要特征:作品采用产自新疆和田地区的白玉青花料，利用玉料的天然皮色俏雕出传说中的“四灵”（青金、白虎、朱雀、玄武）同聚一堂共现祥瑞的精彩景象。 获奖情况:2016年获“中国工艺美术百花奖”银奖。
辟邪,中国,湖北博物馆,,"长8cm, 宽5cm, 高8cm",工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/3e8552284613a358839a23b8b505bd19.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9381.html,作者：田培 尺寸：长8cm*宽5cm*高8cm 材料：和田玉籽料 年代：2012年 作品简介：通过曲线镂雕和原石巧色的巧妙搭配，突出貔貅出彩的效果。它呑进一切美好的事物，辟开一切邪恶，何以载物，唯有厚德。 获奖：2012年在中国工艺美术“百花奖”铜奖。
龙马精神,中国,湖北博物馆,,"长24.5cm, 宽11.5cm, 高5cm",工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/d5d6716cc393ac4b2c5141ddc90fabdb.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9382.html,作者：田培 尺寸：长24.5cm*宽11.5cm*高5cm 材质：和田玉籽料 年代：2014年 作品简介:龙马精神是中华民族自古以来所崇尚的奋斗不止，自强不息的进取向上的民族精神，它是黄河的精灵，是炎黄子孙的化身，代表了华夏民族的主体精神和最高道德。作者力求艺术作品表达出深奥的哲学思想，在保留了整块玉石天然的形状以现代装饰手法，将古代传说中龙的骏马神釆骏逸的形象，潇洒昂扬的身姿，雕琢出伟岸无比引颈长啸的龙马神釆。 获奖：2014年在中国工艺美术“百花奖”银奖。
百发百中,中国,湖北博物馆,,"长17.5cm, 宽13cm, 高7cm",工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/40e7e46b58aabc186b4dd55bf4a0986b.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9383.html,作者：田培 尺寸：长17.5cm*宽13cm*高7cm 材质：和田玉籽料 年代：2015年 作品简介:春秋时期，楚庄王麾下神射手养由基射技超群，百步穿杨。作者用写实夸张的技法塑造出养由基的射箭姿态，生动传神地展现出四匹奔驰的骏马向四周环视的神态，从而让人和马达到形神兼备。背景以云和海为托，以龙及凤作点缀，显示了养由基英勇神武和谋事必成的气度 。 获奖：2015年在中国工艺美术“百花奖”金奖。
射日,中国,湖北博物馆,,尺寸：57*60厘米,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/bfdec1256592b139ab087326210c0a4f.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9384.html,作者：杨小婷 尺寸：57*60厘米 材质：真丝、蚕丝 创作时间：2008绣制 针法：杨小婷复活针法游针绣； 形制：杨小婷原创作品《炫》系列之一 获奖情况：荣获2013年中国工艺美术“百花奖”铜奖。
龙凤虎纹,中国,湖北博物馆,,尺寸：40*60厘米,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/f060a8cc966e78f17c98dc391f8807e6.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9386.html,作者：杨小婷 尺寸：40*60厘米 材质：真丝、蚕丝 创作时间：2002年绣制 针法：锁绣 纹饰：复活楚墓出土纹样
哭泣的天使,中国,湖北博物馆,,尺寸：40*53厘米,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/5873466429c6f96e8b0b6c5f9e825058.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9385.html,作者：杨小婷 尺寸：40*53厘米 材质：真丝、蚕丝 创作时间：2010绣制 针法：杨小婷复活针法游针绣； 纹饰：原创作品，献给玉树地震的孤儿 获奖情况：荣获2010年中国工艺美术“百花奖”优秀奖。
松石雕《诗圣酒仙》,中国,湖北博物馆,,尺寸：16*12*5cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/d62974b3da2e8b42f57ff72f9d9223c8.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9339.html,作者:陈启敏 尺寸：（16*12*5）cm 材质:绿松石 收藏年代:2011年
蜡染《击鼓》,中国,湖北博物馆,,尺寸：76*53.5cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/42170889e8a5f11bc9b3b27ffff505df.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9340.html,作者:陈秀珊 尺寸：（76*53.5）cm 材质:布 收藏年代:2011年
陶艺《鳜—自游》,中国,湖北博物馆,,尺寸：45*33*15cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/b70709a8271201cc2c03a58f947fec12.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9341.html,作者:李正文 尺寸：（45*33*15）cm 材质:陶瓷 收藏年代:2011年
木雕《长袖娇魂》,中国,湖北博物馆,,尺寸：41*23*4cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/280aa278b24f10d9395bc3310288dffd.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9342.html,作者:邓道航 尺寸：（41*23*4）cm 材质:杜仲树 收藏年代:2011年
贝雕《雪精龙舟》,中国,湖北博物馆,,尺寸：60*10*40cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/530fc555d05f41cf66533df12024b403.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9345.html,作者:路光荣 尺寸：（60*10*40）cm 材质:贝壳 收藏年代:2011年
木雕船,中国,湖北博物馆,,尺寸：116*74*25cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/deb6f00c0afd62806aecadc8e2841b0b.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9344.html,作者:龙从发 尺寸：（116*74*25）cm 材质:黄杨木 收藏年代:2011年
软雕塑《说唱艺术》,中国,湖北博物馆,,尺寸：40*20*15/57*25*10cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/7892e2eab5e53cd3de0932b0e1388436.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9343.html,作者:陈立君 尺寸：（40*20*15/57*25*10）cm 材质:布、棉花、泡沫 收藏年代:2011年
麦秆画《水浒人物—花荣》,中国,湖北博物馆,,尺寸：69*100cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/c9af7e4189163426f3e89c0e0c862011.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9347.html,作者:邓友谱 尺寸：（69*100）cm 材质:麦秆 收藏年代:2011年
雕塑《自相矛盾》,中国,湖北博物馆,,尺寸：29*39*12cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/865b50081fd7c56c92f01cd48db04f5b.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9350.html,作者:刘政德 尺寸：（29*39*12）cm 材质:铜 收藏年代:2011年
彩绘饭瓢—火神,中国,湖北博物馆,,尺寸：27*10cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/795e238025405c3a2715d31849db239e.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9348.html,作者:张朗 尺寸：（27*10）cm 材质:木 收藏年代:2011年
古瑟,中国,湖北博物馆,,尺寸：167*42*14cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/c006ce97b9f1d09f5b015105ff4f2c41.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9351.html,作者:刘比建 尺寸：（167*42*14）cm 材质:木器、漆木 收藏年代:2011年
蜂花双馨,中国,湖北博物馆,,尺寸：110*110cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/c22b75ef50ca5942943e86c367e114e2.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9361.html,"作者：蔡骁龙 尺寸：110*110cm（含框） 材质：宣纸 2020创作，获2022中国工艺美术博览会百鹤杯新锐奖。 主题灵感： 创作灵感来源于""花香峰采蜜，辛苦为谁忙""的诗文，取名“双馨”，“馨”字释义为散布很远的香气，做动词可指人品德美好高尚，蜜蜂的形象象征着勤劳勇敢积极向上生活的人们。用创新的配色手法描绘的自然景物，用剪纸的大色调对比描绘微观生态，寄托作者对美好事物与生活的崇尚。 工艺特点： 在工艺上采用阳剪刻法，大篇幅细纹连线技法的展现，花朵与叶片采用单线条连接不乱不断，自然、生动、流畅，工艺求精在于细微处，细微至蜜蜂身体上的绒毛与蜂翼的动感，栩栩如生。"
软派平面微雕：《水浒一百零八将》,中国,湖北博物馆,,尺寸：36x12mm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/0a9c0e9bb04e21e1cf51b5d24fe21e5c.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9364.html,作者：常世琪、仵峰 尺寸：36x12mm 材质：猛犸牙片、翡翠 形制：片状 主要特征：该作品属于软派平面微雕，在密度约1.90克/立方厘米，摩式硬度在2.5左右的猛犸牙片上雕刻，猛犸牙片属于有机材料，吸水性强，容易受湿度等因素的影响吸收或释放水分，因此可以上色，但后期保养时，要精心呵护，远离风口、不能见水和温差过大、保存环境要湿度适宜，防霉防虫。稍有不慎，就会变形、开裂、变色。 作品说明：此微雕作品以名著《水浒传》为蓝本，根据水浒传的人物形象描写，一人一面，为梁山108将群像，生动传神，用色饱满，构图疏密有度，镶嵌在翡翠玉石上。 获奖情况：荣获中国工艺美术2002“华艺杯”银奖。
软派平面微雕：《五百罗汉图》,中国,湖北博物馆,,尺寸：179x8mm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/2af8790b332c2ed6265feb9a82a662c3.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9363.html,作者：常世琪、仵峰 尺寸：179x8mm 材质：猛犸牙片、翡翠 年代：1998—1999年 形制：片状 主要特征：该作品属于软派平面微雕，在密度约1.90克/立方厘米，摩式硬度在2.5左右的猛犸牙片上雕刻，猛犸牙片属于有机材料，吸水性强，容易受湿度等因素的影响吸收或释放水分，因此可以上色，但后期保养时，要精心呵护，远离风口、不能见水和温差过大、保存环境要湿度适宜，防霉防虫。稍有不慎，就会变形、开裂、变色。 作品说明：传说五百罗汉是佛祖释迦牟尼的五百弟子，到明代才有五百罗汉的名字和图像，此件藏品1998—1999年历时两年创作完成，在此之前无人用微雕技艺创作此种大作，是微雕艺术史上的壮举。 获奖情况：作品荣获1999年《中国工艺美术创作大展世纪杯》金奖。
人发雕：吉尼斯世界纪录,中国,湖北博物馆,,"尺寸：20mm, 长20mm",工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/4921f7e2374f784973c3b81e8a003d4b.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9362.html,作者：常世琪 尺寸：20mm 材质：人的头发 年代：1992年 形制：发丝状 主要特征：微雕技艺之最就是在人的头发上进行雕刻，因为人发又细又软，雕刻的时候掌握不好力度就会损坏，雕刻者必须要手、眼、心、气、意念统一，十分耗费雕刻者的心神。常世琪是当代微雕集大成者，他的人发雕不借助任何放大工具纯肉眼雕刻，巅峰之期可以在细小的人发宽度上雕刻三行字，堪称前无古人、后无来者。他用的材质是人的头发，英文中“Hair”代指所有的毛发，有的发雕雕刻者就混淆这个概念，用猪鬃等较粗的动物毛发代替人发（猪鬃比人发粗3—5倍），也称自己为发雕。而有的雕刻者号称自己会“汗毛雕”，这是使用了概念上的漏洞，医学词汇上把除了头发和胡子外人体上的毛发统称为汗毛，号称汗毛雕，但使用的毛发并不比头发细。 作品说明：1992年，他应吉尼斯世界记录亚洲分会邀请，赴新加坡举办个人微雕作品展览，并表演绝技。6月2日，以现场直播的方式，在2厘米人发正反两面上不借助任何放大工具，用纯肉眼雕刻308字，创吉尼斯人发雕世界记录并保持记录至今，6月3日经新加坡标准工业研究院检测后，新加坡中英文电视台当晚播出，6月4日这条新闻还登上了中央电视台晚九点的新闻联播，在国际上为国争光。（此件藏品为常世琪复制件） 获奖情况：破吉尼斯世界纪录微细书写（人发）项目世界纪录，常世琪人发雕世界纪录至2023年维持31年无人能破。 吉尼斯发雕世界纪录局部（材质：人发，长20mm；常量、马珊拍摄）
金镶蓝宝石帽顶,中国,湖北博物馆,,"通高3.9, 底径5.1cm",金、银器,https://img.cjyun.org/a/10695/202301/6e9321c8dccc648ad76bc107f020431c.jpeg,http://hbsbwg.cjyun.org/jyq/p/5387.html,通高3.9、底径5.1cm 由金镶宝石覆莲底座和蓝宝石顶饰组成，现存宝石7颗。
金累丝镶宝石青玉镂空双鸾鸟牡丹簪,中国,湖北博物馆,,"长10.6, 头宽12.6cm, 重42.8g",金、银器,https://img.cjyun.org/a/10695/202301/f28e0e84a27d43083c952852bd3b1cf3.jpeg,http://hbsbwg.cjyun.org/jyq/p/5398.html,长10.6，头宽12.6cm，重42.8g，存镶宝石17颗 平插，戴于正中。俗称“分心”。
皮弁,中国,湖北博物馆,,,金、银器,https://img.cjyun.org/a/10695/202301/15ff27115c6e3b28263250ef47bff588.jpeg,http://hbsbwg.cjyun.org/jyq/p/5391.html,皮弁已朽，尚存金玉附件134件，计有：贯冕金簪1件、金方环2件、金花纽5件、弁珠123颗。
金镶宝石白玉镂空云龙纹帽顶,中国,湖北博物馆,,"通高3.9, 底径5.1cm",金、银器,https://img.cjyun.org/a/10695/202301/20d11903970e1a393ddf9512c6070ad1.jpeg,http://hbsbwg.cjyun.org/jyq/p/5388.html,通高3.9、底径5.1cm 冠顶由金质椭圆形喇叭状底座和白玉镂空龙纹顶饰组成，覆莲瓣面上现存宝石7颗。座顶以“碗镶”法嵌玉顶饰。
金雷丝镶宝石帽顶,中国,湖北博物馆,,"高3.4, 底径5cm",金、银器,https://img.cjyun.org/a/10695/202301/8be336c18b35e1d39c6a6068e72e47d5.jpeg,http://hbsbwg.cjyun.org/jyq/p/5389.html,高3.4、底径5cm 覆莲形金花底座自上而下采用“花丝工艺”镂空成五层，共镶有宝石18颗。
金镶淡黄蓝宝石帽顶,中国,湖北博物馆,,"通高4.8, 底径5.2cm",金、银器,https://img.cjyun.org/a/10695/202301/c382f825ad2afdbe4c36e9769ab46d27.jpeg,http://hbsbwg.cjyun.org/jyq/p/5386.html,通高4.8、底径5.2cm 帽顶由金镶宝石覆莲底座和淡黄蓝宝石顶饰组成，上存宝石7颗。
金爵、银爵和镀金银托盘,中国,湖北博物馆,,"金爵高10, 流尾长10.2, 中宽4, 重162.7g, 银爵高10.4, 流尾长11, 中宽4.6cm, 重97.5g, 镀金银托盘高7, 长27, 宽14cm, 重563.7g",金、银器,https://img.cjyun.org/a/10695/202301/2df2006a3f15196f70c776cd0b6c3106.jpeg,http://hbsbwg.cjyun.org/jyq/p/4765.html,金爵高10，流尾长10.2，中宽4，重162.7g 银爵高10.4，流尾长11，中宽4.6cm，重97.5g 镀金银托盘高7，长27，宽14cm，重563.7g
云形金镶宝石饰,中国,湖北博物馆,,"通高1, 长4, 宽3.4cm, 重11.7g, 通高1.2, 长4, 宽3.2cm, 重10.8g",金、银器,https://img.cjyun.org/a/10695/202301/eaf982dbf41e3d6d359778bd66be91bd.jpeg,http://hbsbwg.cjyun.org/jyq/p/5406.html,左通高1、长4、宽3.4cm、重11.7g 金托为三角形，镶一颗三角形红宝石。应为服饰类器物。 右通高1.2，长4、宽3.2cm，重10.8g 金托为椭圆形，镶一颗淡黄色蓝宝石。
金刚杵,中国,湖北博物馆,,"长2.4-2.6cm, 总重26g",金、银器,https://img.cjyun.org/a/10695/202301/4b5f38996ca6ce4d5e9f3498ed88c378.jpeg,http://hbsbwg.cjyun.org/jyq/p/4848.html,长2.4-2.6cm，总重26g
金镶宝石带,中国,湖北博物馆,,,金、银器,https://img.cjyun.org/a/10695/202301/a89812a6720022b71479cdf6e08b6459.jpeg,http://hbsbwg.cjyun.org/jyq/p/5392.html,由20件金镶宝石带銙和2件金带扣及1件脱落的金插销组成。全带共镶蓝宝石、祖母绿、金绿、金绿宝石猫眼、石英猫眼、绿松石、绿柱石、东陵石等宝石98颗。
云形金累丝镶宝石簪,中国,湖北博物馆,,"长15.3, 头宽6.7cm, 重43.4g, 长15.2, 头宽6.7cm, 重42.5g",金、银器,https://img.cjyun.org/a/10695/202301/93633b32f71d0378d58bdb1a8f16bcab.jpeg,http://hbsbwg.cjyun.org/jyq/p/5399.html,左长15.3、头宽6.7cm，重43.4g，存镶宝石6颗 右长15.2、头宽6.7cm，重42.5g，存镶宝石6颗 簪头以双层花丝（掐丝）制作。倒插，用以压鬓。
冕冠,中国,湖北博物馆,,,金、银器,https://img.cjyun.org/a/10695/202301/10d50e36a7a1bbd8e4a23469ab86cbca.jpeg,http://hbsbwg.cjyun.org/jyq/p/5390.html,冕冠和冠卷已朽，尚存140件金玉附件，计有：贯冕金簪1件、金冠箍1件、金花纽6件、金方环2件、碧玉珩1件、冕珠125颗、碧玉瑱2件、白玉瑱2件。
金镶宝石帽顶,中国,湖北博物馆,,"通高7.5, 底径4.8cm",金、银器,https://img.cjyun.org/a/10695/202301/1656ed1e30f7b7d2ced3d58c3e9fced8.jpeg,http://hbsbwg.cjyun.org/jyq/p/5385.html,通高7.5、底径4.8cm 由金镶宝石莲花底座和蓝宝石顶饰组成，现存宝石10颗。座顶端“拴丝镶”一颗近200克拉的橄榄形无色蓝宝石，是目前考古发现最大的蓝宝石。
金“大黑天”舞姿神像,中国,湖北博物馆,,"直径3.1cm, 重27.4g",金、银器,https://img.cjyun.org/a/10695/202301/608bfe0409c22173370c234b4418d052.jpeg,http://hbsbwg.cjyun.org/jyq/p/5413.html,直径3.1cm，重27.4g 反面铸“摩诃伽罗用普印咒”
梅花形金镶宝石簪,中国,湖北博物馆,,"长12.7cm, 重24g, 长12.7cm, 重23.6g",金、银器,https://img.cjyun.org/a/10695/202301/7d90515380ef377a2accbf49f4dd8a6f.jpeg,http://hbsbwg.cjyun.org/jyq/p/5401.html,左长12.7cm、重24g，爪镶红宝石1颗 右长12.7cm、重23.6g，爪镶红宝石1颗 俗称“花头簪”，直插。
金“大黑天”舞姿神像,中国,湖北博物馆,,"高9.4, 底宽5.4cm, 重114.1g",金、银器,https://img.cjyun.org/a/10695/202301/b6a9f048c0cd35d348bea482c374e249.jpeg,http://hbsbwg.cjyun.org/jyq/p/5414.html,高9.4、底宽5.4cm、重114.1g 此像系帽饰，浮雕密教大黑天像。
