artifactName,artifactName1,country,material,material1,library,library1,size,size1,description,description1,moreUrl,imageUrl
Apothekenabgabegefäß aus Keramik,陶瓷药房分配器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,Höhe x Breite: 5 x 3 cm,高x宽：5 x 3厘米,Arznei Abgabegefäß. In Form einer Flachvase weißgrauer Untergrund mit Päonien.,药品分配器。在一个平面花瓶的形式白灰色的牡丹背景。,https://id.smb.museum/object/137227/apothekenabgabegefass-aus-keramik,https://recherche.smb.museum/images/59/598411_1200x1200.jpg
Bodhisattva Avalokiteshvara,观世音菩萨,中国,Bronze,青铜,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 8,9 x 4,2 x 2 cm,Sockel: 2 x 4 x 4 cm,Höhe x Breite x Tiefe: 10,9 x 4,2 x 4,1 cm (mit Sockel),Gewicht: 0,12 kg (mit Sockel)",高x宽x深：8.9 x 4.2 x 2 cm，底座：2 x 4 x 4 cm，高x宽×深：10.9 x 4.2 x 4.1 cm（带底座），重量：0.12 kg（带底座,"Während der Tang-Zeit nahm die Popularität des Bodhisattva Avalokiteshvara enorm zu und keine andere buddhistische Gottheit war Gegenstand so vieler Kunstwerke. Diese kleine Statuette ist ähnlich wie andere in der Sammlung aus Bronze (z. B. III 539). Vermutlich wurden sie auf den Pilgerrouten aus Zentralchina mitgebracht. Avalokiteshvara steht in anmutiger Pose auf einem Lotussockel, den Lotus hält er in der linken Hand, die Flasche in der rechten. Bänder fallen von seiner Krone.During the Tang period the popularity of the bodhisattva Avalokiteshvara increased enormously and no other Buddhist deity was the subject of so many works of art. This statuette is similar to others in the collection made out of bronze (e.g. III 539). They were probably brought along the pilger routes from Central China. Avalokiteshvara stands in a graceful pose on a lotus pedestal, the lotus in his left hand, the flask in his right. Ribbons fall from his crown.",在唐代，观世音菩萨的受欢迎程度大大提高，没有其他佛教神成为如此多艺术作品的主题。这尊小雕像与青铜收藏中的其他雕像（如III 539）相似。他们可能是从中国中部的朝圣路线上带来的。观世音以优美的姿势站在莲花底座上，左手拿着莲花，右手拿着瓶子。他的王冠上的带子掉了下来。在唐代，观世音菩萨的受欢迎程度大大提高，没有其他佛教神成为如此多艺术品的主题。这尊小雕像与青铜收藏中的其他雕像相似（如III 539）。他们可能是从中国中部沿着朝圣路线带来的。观世音以优美的姿势站在莲花座上，左手拿着莲花，右手拿着烧瓶。缎带从他的王冠上掉下来。,https://id.smb.museum/object/982060/bodhisattva-avalokiteshvara,https://recherche.smb.museum/images/58/5838052_1200x1200.jpg
Segment eines großen Holzobjektes,大型木制物体的分段,中国,"Holz, geschnitzt",木材，雕刻,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 41 x 6,8 x 4 cm,Gewicht: 1,4 kg",高x宽x深：41 x 6.8 x 4厘米，重量：1.4公斤,Dieses rundliche Segment eines großen Holzobjektes hatte gewiss eine praktische Funktion innerhalb des Architekturverbundes. Davon zeugt die Einkerbung in der Mitte dieses Elementes.,这个大型木制物体的圆形部分在建筑网络中无疑具有实用功能。这可以通过该元件中间的凹口来证明。,https://id.smb.museum/object/1714683/segment-eines-grossen-holzobjektes,https://recherche.smb.museum/images/58/5845839_1200x1200.jpg
Typ he,键入he,中国,"Bronze-, Gold- und Silbereinlagen",青铜、金色和银色嵌件,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 25 x 27,5 cm",高度x直径：25 x 27.5厘米,"Historisches Foto und Erläuterung
Kümmel, Otto (1925): Ostasiatisches Gerät. Bruno Cassirer Verlag, Berlin. Abb. 14, S. 42

Katalog: Tsingtao - ein Kapitel deutscher Kolonialgeschichte in China
Berlin (DHM) 1998, Abb. Seite 174 SM8HF",历史照片及说明,https://id.smb.museum/object/148081/typ-he,https://recherche.smb.museum/images/49/496776_1200x1200.jpg
Kultbildrahmen,文化框架,中国,Holz,木材,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 32,4 x 30,2 x 3,5 cm,Gewicht: 0,5 kg",高x宽x深：32.4 x 30.2 x 3.5厘米，重量：0.5公斤,"Die ursprüngliche Funktion dieses Architekturelementes ist nicht eindeutig geklärt. Das Holz ist sehr morsch und stark verwittert, aber es lassen sich noch Farbreste einer einstigen Bemalung erkennen.",这一建筑元素的原始功能尚未明确阐明。木头非常腐烂，风化严重，但仍有前一幅画的油漆残留物。,https://id.smb.museum/object/1792192/kultbildrahmen,https://recherche.smb.museum/images/58/5845837_1200x1200.jpg
Keramikteller,Keramikteller,中国,"Keramik, bemalt, glasiert",陶瓷、涂漆、上釉,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 4 x 21 cm,Gewicht: < 2  kg",高度x直径：4 x 21厘米，重量：<2公斤,Teller;  bemalt,告诉；麦芽,https://id.smb.museum/object/195012/keramikteller,https://recherche.smb.museum/images/15/1535988_1200x1200.jpg
Apothekenschrank (Oberteil links),药柜（左上）,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Objektmaß: 78 x 131 x 39 cm,Objektmaß: 245,5 x 339,5 x 39 cm (Schrankwand gesamt I D 42029-42037)","物体尺寸：78 x 131 x 39 cm，物体尺寸：245,5 x 339,5 x 39 cm（整个橱柜墙I D 42029-42037）",Teil zur Chinesischen Apotheke. Teile 2-17 Schubläden,中国药学的一部分。第2-17部分抽屉,https://id.smb.museum/object/140688/apothekenschrank-oberteil-links,https://recherche.smb.museum/images/59/598185_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140956/rohdroge,https://recherche.smb.museum/images/59/598574_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140971/rohdroge,https://recherche.smb.museum/images/59/598588_1200x1200.jpg
Baustein aus der Stadtmauer von Beijing,北京城墙上的建筑砌块,中国,Stein,斯坦因,Ethnologisches Museum,民族博物馆,"Objektmaß: 49,5 x 21 x 10 cm",物体尺寸：49.5 x 21 x 10厘米,"Baustein aus der Stadtmauer von Beijing (ehemals Peking), gefunden bei Ausgrabungen für die Fundamentierung der katholischen Kirche auf dem Si-che-Ku.Der Baustein&nbsp;trägt den Stempel: ""Im 18. Jahr Ch'eng-hua = 1482 in der Jahreszeit - in der Brennerei im Distrikt Lao-ling angefertigt.""","北京（原北京）城墙上的建筑砌块，在四车库天主教堂的地基挖掘过程中发现。构建块上面印着：“我18岁。陈华I1482年份在老陵区酒厂每年的这个时候制作。""",https://id.smb.museum/object/138174/baustein-aus-der-stadtmauer-von-beijing,https://recherche.smb.museum/images/58/5865318_1200x1200.jpg
Zivilbeamter V. Klasse,公务员五级,中国,Textil,文本,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 27 x 29,3 cm","高x宽：27 x 29,3厘米",,,https://id.smb.museum/object/146841/zivilbeamter-v--klasse,https://recherche.smb.museum/images/48/4832986_1200x1200.jpg
"Kamel mit Reiter (chin. 騎駝 胡人, jituo huren)",骆驼与骑手（下巴。騎駝真人，吉拓郡）,中国,Ton mit Überlaufglasur,溢流釉粘土,Ethnologisches Museum,民族博物馆,"Objektmaß: 95 x 73 x 29 cm,Gewicht: 25,7 kg",物体尺寸：95 x 73 x 29厘米，重量：25.7公斤,"Das wichtigste Transportmittel für den Fernhandel auf der sog. Seidenstraße durch die Wüsten Innerasiens war das zweihöckrige baktrische Kamel.. Es war relativ kälteunempfindlich, konnte seinen Wasserbedarf für zwei Wochen speichern und transportierte ca. 250 kg bei einer Tagesleistung von  30 km. 

Während der Regierung der chinesischen Tang-Dynastie (7.-9. Jh.) gelangten vor allem exotische Kostbarkeiten  - lebende Tiere, wertvolle Edelsteine, Metalle und Stoffe aus dem Orient nach China. Das Kamel wurde zum Schlüsselmotiv für diesen Luxushandel. Aus Keramik geformt waren sie die wichtigsten und zahlreichsten Grabbeigaben für vornehme Verstorbene und begleiteten sie auf dem Weg ins Jenseits.
Das hier gezeigte Kamel aus dem Ethnologischen Museum Berlin ist in der klassischen Dreifarbenglasur (chin. Tang sancai) gestaltet und gehört wegen seine Größe und der Ausdruckskraft zu den prunkvollsten erhaltenen Exemplaren weltweit. (C.Müller, 9.3.2006)
Die Begleitfigur ( I D 36609 b) wird vermutlich nicht direkt zu dem Kamel mit Reiter gehört haben..
Erstveröffentlichung durch Thiele, Peter in:  ""Kunst der Welt in Berliner Museen"", Museum für Völkerkunde, Band 2, Stuttgart, 1982, S.88-89",所谓的长途贸易最重要的运输工具穿过内亚沙漠的丝绸之路是双层双峰驼。它对寒冷相对不敏感，可以储存两周的水需求，以30公里的日运输能力运输约250公斤。,https://id.smb.museum/object/148087/kamel-mit-reiter-chin--%E9%A8%8E%E9%A7%9D-%E8%83%A1%E4%BA%BA-jituo-huren,https://recherche.smb.museum/images/46/4611063_1200x1200.jpg
Säulenbasis,柱脚,中国,"Holz, geschnitzt",木材，雕刻,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 20,1 x 38,7 x 36,2 cm,Gewicht: 10,1 kg",高x宽x深：20.1 x 38.7 x 36.2厘米，重量：10.1公斤,Diese runde Säulenbasis ist schlicht in ihrer Ausführung und steht auf einem schmucklosen Sockel in Form eines Quaders. Die runde Form deutet auf mögliche Beziehungen mit der Kunst der Sogder. aus den Gebieten der heutigen Tadschikistan und Usbekistan. C-14 Datierung 899 – 1024. [SM8HF],这个圆形柱基设计简单，立在一个长方体形状的朴实无华的基座上。圆形表示与粟特艺术可能存在的关系。来自今天塔吉克斯坦和乌兹别克斯坦的领土。C-14，年代899–1024。[SM8HF],https://id.smb.museum/object/1792199/saulenbasis,https://recherche.smb.museum/images/46/4602047_1200x1200.jpg
Apothekenschrank (Mittelteil links),药柜（左中）,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Objektmaß: 78 x 131 x 39 cm,Objektmaß: 245,5 x 339,5 x 39 cm (Schrankwand gesamt I D 42029-42037)","物体尺寸：78 x 131 x 39 cm，物体尺寸：245,5 x 339,5 x 39 cm（整个橱柜墙I D 42029-42037）",Mittelteil zur Chinesischen Apotheke. Teile 2-17 Schubläden,中药学。第2-17部分抽屉,https://id.smb.museum/object/140689/apothekenschrank-mittelteil-links,https://recherche.smb.museum/images/49/497118_1200x1200.jpg
Keramikteller,Keramikteller,中国,"Keramik, Unterglasurmalerei",陶瓷、釉下绘画,Ethnologisches Museum,民族博物馆,"Höhe x Breite x Tiefe: 5 x 42,5 x 42,5 cm,Gewicht: < 2  kg",高x宽x深：5 x 42.5 x 42.5cm，重量：<2 kg,"Tellerplatte, grosse, blaue.",盘子，大的，蓝色的。,https://id.smb.museum/object/195015/keramikteller,https://recherche.smb.museum/images/13/1316293_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140957/rohdroge,https://recherche.smb.museum/images/59/598575_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140972/rohdroge,https://recherche.smb.museum/images/59/598589_1200x1200.jpg
"Die Entsetzung der Festung Zhuluo (aus der Taiwan-Schlacht-Serie 評定台灣戰圖 Ping ding Taiwan zhan tu, Nr.1)", ,中国,Kupfer,铜,Ethnologisches Museum,民族博物馆,"Breite: 93 cm,Höhe: 58,5 cm,Gewicht: 14 kg",宽：93厘米，高：58.5厘米，重量：14公斤,"Erste Kupferdruckplatte aus der Serie ""Taiwan Kampagne"" 1787-1788: Die Entsetzung von Zhulou (諸羅圍解 Relief of Zhuluo) [SM8HF]",“台湾战役”系列第一铜版1787-1788：朱楼的荒芜（朱洛的救济）[SM8HF],https://id.smb.museum/object/148635/die-entsetzung-der-festung-zhuluo-aus-der-taiwan-schlacht-serie-%E8%A9%95%E5%AE%9A%E5%8F%B0%E7%81%A3%E6%88%B0%E5%9C%96-ping-ding,https://recherche.smb.museum/images/58/5810268_1200x1200.jpg
Keramikteller,Keramikteller,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite x Tiefe: 6,5 x 32,5 x 32,5 cm,Gewicht: 1,6 kg",高x宽x深：6.5 x 32.5 x 32.5厘米，重量：1.6公斤,"Teller, grünglasiert.",盘子，绿色釉面。,https://id.smb.museum/object/195019/keramikteller,https://recherche.smb.museum/images/15/1535990_1200x1200.jpg
Apothekenschrank (Unterteil links),药柜（左下）,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Objektmaß: 89,5 x 131 x 39 cm,Objektmaß: 245,5 x 339,5 x 39 cm (Schrankwand gesamt I D 42029-42037)","物体尺寸：89,5 x 131 x 39 cm，物体尺寸：245,5 x 339,5 x 39 cm（整个橱柜墙I D 42029-42037）",Teil zur Chinesischen Apotheke. Teile 2-25 Schubläden,中国药学的一部分。第2-25部分抽屉,https://id.smb.museum/object/140690/apothekenschrank-unterteil-links,https://recherche.smb.museum/images/59/598186_1200x1200.jpg
rechteckiges Architekturfragment (Tür?),矩形建筑碎片（门？）,中国,"Holz, geschnitzt",木材，雕刻,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 57,3 x 15,7 x 8,8 cm,Gewicht: 2,8 kg",高x宽x深：57.3 x 15.7 x 8.8厘米，重量：2.8公斤,"Dieses, mit aufwendigen Schnitzereien verzierte, Architekturfragment war einst vermutlich Teil einer Tür.",这个建筑碎片，用精心雕刻装饰，可能曾经是门的一部分。,https://id.smb.museum/object/1792202/rechteckiges-architekturfragment-tur,https://recherche.smb.museum/images/58/5845338_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140973/rohdroge,https://recherche.smb.museum/images/59/598590_1200x1200.jpg
Saatwagen,小时,中国,Holz; Eisen,木材要求,Ethnologisches Museum,民族博物馆,Objektmaß: 87 x 197 x 85 cm,物体尺寸：87 x 197 x 85厘米,,,https://id.smb.museum/object/140491/saatwagen,https://recherche.smb.museum/images/54/540917_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140958/rohdroge,https://recherche.smb.museum/images/59/598576_1200x1200.jpg
Militärbeamte III. Klasse,三级军官,中国,Textil,文本,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 29 x 32,5 cm",高x宽：29 x 32.5厘米,,,https://id.smb.museum/object/146848/militarbeamte-iii--klasse,https://recherche.smb.museum/images/48/4832990_1200x1200.jpg
Gefäß,容器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 5,8 x 3,3 cm",高x宽：5.8 x 3.3厘米,Weißgrauer Untergrund mit blauer Schrift. Song feng tang lei ist wahrscheinlich der Name der Apotheke.,白灰色背景，蓝色书写。宋凤堂雷大概就是药店的名字。,https://id.smb.museum/object/136961/gefass,https://recherche.smb.museum/images/59/598362_1200x1200.jpg
Apothekenabgabegefäß aus Keramik,陶瓷药房分配器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,Höhe x Breite: 7 x 4 cm,高x宽：7 x 4厘米,Arznei Abgabegefäß. In Form einer Flachvase weißgrauer Untergrund mit Päonien.,药品分配器。在一个平面花瓶的形式白灰色的牡丹背景。,https://id.smb.museum/object/137230/apothekenabgabegefass-aus-keramik,https://recherche.smb.museum/images/59/598414_1200x1200.jpg
(chin.  藥碾子 yao nian zi),（chin.医学30910；他们的儿子是尼桑）,中国,Eisen; Holz,要求；木材,Ethnologisches Museum,民族博物馆,"Objektmaß: a,c: 18,3 x 16 x 50 cm,Breite: b: 37,5 cm,Durchmesser: b: 25 cm,Gewicht: a,c: 4,8 kg,Gewicht: b: 2,2 kg","物体尺寸：a，c:18,3 x 16 x 50 cm，宽度：b:37,5 cm，直径：b:25 cm，重量：a，c:\4,8 kg，重量：b:2,2 kg",Eisenschiff auf Holzplatte mit Eisenrad  (Schneide) und Holzgriff. Zerkleinerer für pflanzliche Arzneien.,木制板上的铁船，带有铁轮（刀刃）和木柄。草药切丝机。,https://id.smb.museum/object/137516/chin---%E8%97%A5%E7%A2%BE%E5%AD%90-yao-nian-zi,https://recherche.smb.museum/images/59/598276_1200x1200.jpg
Tuch,下一个,中国,Baumwolle,棉,Ethnologisches Museum,民族博物馆,Länge x Breite: 90 x 90 cm,长x宽：90 x 90厘米,"vgl. Bossert LXXII, 4",vgl。Bossert LXXII，4,https://id.smb.museum/object/187220/tuch,https://recherche.smb.museum/images/13/1384002_1200x1200.jpg
Brett mit uigurischer Schrift,维吾尔文字板,中国,"Holz, bemalt",木材，涂漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 81,5 x 31,8 cm,Gewicht: 2,9 kg",高x宽x深：81.5 x 31.8厘米，重量：2.9公斤,"Großes Holzbrett (wahrscheinlich ein Möbelteil), längsseitig gespalten, mit mehreren kleinen Dübellöchern und zwei viereckigen größeren Perforationen. Reste roter Farbe. Uigurische Schrift auf beiden Seiten: Toyunčog Tutuŋ wird namentlich als Schreiber identifiziert, dies ist eine Schreibübung, die den Tausend-Zeichen-Klassiker (Qianziwen 千字文) zitiert: ein Text zum Erlernen chinesischer Schriftzeichen. Dies ist ein Beweis für die weite Verbreitung des Wissens über diesen Text unter den Altuiguren.Large wooden board (probably part of a piece of furniture), split along the long side, with several small dowel holes and 2 larger square perforations. Remains of red paint. Uyghur script on both sides: Toyunčog Tutuŋ identified by name as the scribe, this is a writing exercise quoting the Thousand Characters Classic (Qianziwen 千字文): a text for learning Chinese characters. This is evidence for the broad dissemination of knowledge about this text among the Old Uyghurs.",大木板（可能是一件家具），纵向分开，有几个小钉孔和两个方形的较大穿孔。红色油漆的残留物。两侧的维吾尔文字：Toyunčog TutuŐ通过名字被识别为作家，这是一个引用千字经典（千字文）的写作练习：一个学习汉字的文本。这证明了关于这篇文章的知识在阿尔图伊古人中广泛传播。大木板（可能是家具的一部分），沿着长边分开，有几个小榫钉孔和两个较大的方形穿孔。红色油漆的残留物。两侧的维吾尔文字：Toyunčog TutuŐ按名字识别为抄写员，这是一个引用《千字经》的写作练习：一个学习汉字的文本。这是有关该文本的知识在老维吾尔人中广泛传播的证据。,https://id.smb.museum/object/1792204/brett-mit-uigurischer-schrift,https://recherche.smb.museum/images/58/5845340_1200x1200.jpg
Keramikschale,Keramikschale,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 7 x 9 cm (D: Fuß),Durchmesser: 17 cm (oben)",高x直径：7 x 9厘米（深：英尺），直径：17厘米（顶部）,"Suppenschale
Keramik - Blaßrosa Scherben, unter der Glasur gelblich (innen vollständig, außen nur die obere Hälfte glasiert) Unterglasurmalerei: oberer Rand grün, an der Außenwand sechs Volutenmotive, abwechselnd grün und rotbraun.
Auf dem sonntagsmarkt in Kaschgar verkauften die Garköche Suppe in solchen Schalen. Auf die Frage, ob eine solche Schale käuflich zu erwerben sei, wurde sie uns geschenkt. Ein kleines Geldgeschenk an die Tochter, die die Schale säuberte, wurde mit vielen Dankesbezeugungen angenommen. (Die Schalen hatten alle verschiedene Muster, erinnern insgesamt aber sehr an die alte, im Museum vorkommende Keramik)",汤碗,https://id.smb.museum/object/195035/keramikschale,https://recherche.smb.museum/images/15/1535998_1200x1200.jpg
Apothekenschrank (Oberteil Mitte),药柜（中上部）,中国,"Holz, Glas",Holz，Glass,Ethnologisches Museum,民族博物馆,"Objektmaß: 78 x 77,5 x 39 cm,Objektmaß: 245,5 x 339,5 x 39 cm (Schrankwand gesamt I D 42029-42037)","物体尺寸：78 x 77.5 x 39 cm，物体尺寸：245,5 x 339,5 x 39 cm（整个橱柜墙I D 42029-42037）",Chinesische Apotheke.,中药学。,https://id.smb.museum/object/140691/apothekenschrank-oberteil-mitte,https://recherche.smb.museum/images/49/497123_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140959/rohdroge,https://recherche.smb.museum/images/59/598577_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140974/rohdroge,https://recherche.smb.museum/images/59/598591_1200x1200.jpg
"""Landschaft""",景观,中国,Porzellan,波尔泽兰,Ethnologisches Museum,民族博物馆,"Höhe: 7,5 cm,Durchmesser: 6 cm",高：7.5厘米，直径：6厘米,Arzneigefäß in Tintenfaßform.,喷墨形式的药用器皿。,https://id.smb.museum/object/136841/landschaft,https://recherche.smb.museum/images/86/862819_1200x1200.jpg
Porzellangefäß mit Deckel,带盖瓷瓶,中国,Porzellan,波尔泽兰,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 36 x 25 cm,Gewicht: 3,1 kg",高度x直径：36 x 25厘米，重量：3.1公斤,,,https://id.smb.museum/object/140644/porzellangefass-mit-deckel,https://recherche.smb.museum/images/59/598171_1200x1200.jpg
Gefäß,容器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 5,6 x 3,1 cm",高x宽：5.6 x 3.1厘米,Weißgrauer Untergrund mit blauer Schrift. Song feng tang lei ist wahrscheinlich der Name der Apotheke.,白灰色背景，蓝色书写。宋凤堂雷大概就是药店的名字。,https://id.smb.museum/object/136962/gefass,https://recherche.smb.museum/images/59/598363_1200x1200.jpg
